model,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate
DeBERTa hate-tuned,Very early,0.5630522088353414,0.6666666666666666,0.5108433734939759,0.4835341365461847
DeBERTa hate-tuned,Early,0.5445783132530121,0.6666666666666666,0.5261044176706827,0.4875502008032129
DeBERTa hate-tuned,Middle,0.5963855421686747,0.6666666666666666,0.5281124497991968,0.4939759036144578
DeBERTa hate-tuned,Late,0.6385542168674699,0.6666666666666666,0.5927710843373494,0.4497991967871486
DeBERTa hate-tuned,Very late,0.9108433734939758,0.6666666666666666,0.6899598393574298,0.4779116465863454
Gemma 2 2B,Very early,0.6311914323962516,0.5341365461847389,0.6017402945113789,0.6124497991967871
Gemma 2 2B,Early,0.6690763052208835,0.5341365461847389,0.6385542168674698,0.642570281124498
Gemma 2 2B,Middle,0.6755020080321285,0.5341365461847389,0.6240963855421687,0.6281124497991968
Gemma 2 2B,Late,0.8779116465863452,0.5341365461847389,0.5020080321285141,0.5060240963855421
Gemma 2 2B,Very late,0.8626506024096386,0.5341365461847389,0.49638554216867464,0.5004016064257029
Gemma 2 2B IT,Very early,0.6204819277108434,0.5903614457831325,0.5950468540829986,0.5829986613119144
Gemma 2 2B IT,Early,0.6714859437751004,0.5903614457831325,0.5895582329317269,0.6417670682730924
Gemma 2 2B IT,Middle,0.9012048192771085,0.5903614457831325,0.5734939759036145,0.5357429718875502
Gemma 2 2B IT,Late,0.9662650602409638,0.5903614457831325,0.5726907630522089,0.5124497991967871
Gemma 2 2B IT,Very late,0.9622489959839357,0.5903614457831325,0.5751004016064257,0.5148594377510041
Gemma 2 9B,Very early,0.6309683177153057,0.46184738955823296,0.4265952699687639,0.573404730031236
Gemma 2 9B,Early,0.6802208835341366,0.46184738955823296,0.3669678714859438,0.6330321285140562
Gemma 2 9B,Middle,0.7043172690763052,0.46184738955823296,0.3679718875502008,0.6320281124497992
Gemma 2 9B,Late,0.9342369477911646,0.46184738955823296,0.5005020080321285,0.4994979919678715
Gemma 2 9B,Very late,0.8875502008032128,0.46184738955823296,0.46095493083444894,0.5390450691655511
Gemma 2 9B IT,Very early,0.6256135653726015,0.8835341365461847,0.6046407853636769,0.5609103078982598
Gemma 2 9B IT,Early,0.6812248995983936,0.8835341365461847,0.6049196787148594,0.626004016064257
Gemma 2 9B IT,Middle,0.9011044176706827,0.8835341365461847,0.8067269076305221,0.5507028112449799
Gemma 2 9B IT,Late,0.9678714859437751,0.8835341365461847,0.8674698795180723,0.5180722891566265
Gemma 2 9B IT,Very late,0.963855421686747,0.8835341365461847,0.8634538152610441,0.5109326193663544
