model,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate
DeBERTa hate-tuned,Very early,0.03447739121499556,0.0,0.062436561569140625,0.08350130649275497
DeBERTa hate-tuned,Early,0.02791092426328363,0.0,0.029648239076773907,0.023520562994933828
DeBERTa hate-tuned,Middle,0.0416717066031416,0.0,0.04417670682730925,0.0730290853921599
DeBERTa hate-tuned,Late,0.09516462338211074,0.0,0.0460185590703011,0.026790490088607087
DeBERTa hate-tuned,Very late,0.043104924867465796,0.0,0.016164346825299675,0.030053472986136094
Gemma 2 2B,Very early,0.029557432618232377,0.0,0.026568827466957046,0.020438571325300366
Gemma 2 2B,Early,0.006090663007270292,0.0,0.010238995007214433,0.010238995007214443
Gemma 2 2B,Middle,0.004399377971929063,0.0,0.006720160855695403,0.006720160855695354
Gemma 2 2B,Late,0.007295543021921718,0.0,0.00491865410197427,0.004918654101974263
Gemma 2 2B,Very late,0.012507961046102349,0.0,0.01008024128354308,0.01008024128354308
Gemma 2 2B IT,Very early,0.04345893711138568,0.0,0.03125485505529426,0.037279518917387684
Gemma 2 2B IT,Early,0.005956785933410101,0.0,0.005956785933410175,0.005956785933410175
Gemma 2 2B IT,Middle,0.129096321512508,0.0,0.013136889344414558,0.06041474265427083
Gemma 2 2B IT,Late,0.002199688985964545,0.0,0.002199688985964545,0.002199688985964473
Gemma 2 2B IT,Very late,0.003592077072288868,0.0,0.0017960385361444147,0.0017960385361444303
Gemma 2 9B,Very early,0.051916250146359574,0.0,0.0412394157985257,0.04123941579852578
Gemma 2 9B,Early,0.00477001983600572,0.0,0.004770019836005686,0.004770019836005674
Gemma 2 9B,Middle,0.09678958867379331,0.0,0.057438644997978024,0.057438644997978024
Gemma 2 9B,Late,0.022508137478104446,0.0,0.010932781985174679,0.010932781985174708
Gemma 2 9B,Very late,0.01023899500721441,0.0,0.01201094942766156,0.012010949427661531
Gemma 2 9B IT,Very early,0.04678231259707241,0.0,0.04353824462637059,0.044313406607859304
Gemma 2 9B IT,Early,0.005230803938270398,0.0,0.0052308039382703625,0.0039800450159241515
Gemma 2 9B IT,Middle,0.13741979487840736,0.0,0.12627929121159917,0.05225019324862592
Gemma 2 9B IT,Late,0.0037181530111347503,0.0,0.0037181530111347195,0.0048001148969253
Gemma 2 9B IT,Very late,0.002008032128514081,0.0,0.0020080321285140487,0.0017709178788919342
