model,depth_category,Both correct,Latent only correct,Behavioral only correct,Both wrong
DeBERTa hate-tuned,Very early,0.37028112449799194,0.1927710843373494,0.2963855421686747,0.14056224899598393
DeBERTa hate-tuned,Early,0.3686746987951807,0.17590361445783131,0.29799196787148596,0.157429718875502
DeBERTa hate-tuned,Middle,0.39558232931726905,0.20080321285140562,0.2710843373493976,0.13253012048192772
DeBERTa hate-tuned,Late,0.44899598393574297,0.1895582329317269,0.2176706827309237,0.14377510040160643
DeBERTa hate-tuned,Very late,0.6337349397590362,0.27710843373493976,0.03293172690763052,0.05622489959839357
Gemma 2 2B,Very early,0.38353413654618473,0.24765729585006693,0.15060240963855423,0.2182061579651941
Gemma 2 2B,Early,0.42088353413654617,0.24819277108433735,0.11325301204819277,0.2176706827309237
Gemma 2 2B,Middle,0.41686746987951806,0.25863453815261045,0.11726907630522089,0.20722891566265061
Gemma 2 2B,Late,0.4570281124497992,0.42088353413654617,0.07710843373493977,0.04497991967871486
Gemma 2 2B,Very late,0.4465863453815261,0.41606425702811245,0.08755020080321285,0.04979919678714859
Gemma 2 2B IT,Very early,0.4029451137884873,0.2175368139223561,0.18741633199464525,0.19210174029451138
Gemma 2 2B IT,Early,0.42570281124497994,0.2457831325301205,0.1646586345381526,0.163855421686747
Gemma 2 2B IT,Middle,0.5325301204819277,0.3686746987951807,0.05783132530120482,0.04096385542168675
Gemma 2 2B IT,Late,0.5646586345381526,0.40160642570281124,0.02570281124497992,0.008032128514056224
Gemma 2 2B IT,Very late,0.563855421686747,0.39839357429718875,0.02650602409638554,0.011244979919678716
Gemma 2 9B,Very early,0.2597054886211513,0.3712628290941544,0.20214190093708165,0.16688978134761268
Gemma 2 9B,Early,0.2545180722891566,0.42570281124497994,0.2073293172690763,0.11244979919678715
Gemma 2 9B,Middle,0.26706827309236947,0.43724899598393574,0.19477911646586346,0.10090361445783133
Gemma 2 9B,Late,0.4482931726907631,0.4859437751004016,0.01355421686746988,0.05220883534136546
Gemma 2 9B,Very late,0.40517626059794737,0.48237394020526553,0.05667112896028559,0.055778670236501564
Gemma 2 9B IT,Very early,0.5568942436412316,0.06871932173136992,0.32663989290495316,0.047746541722445336
Gemma 2 9B IT,Early,0.5848393574297188,0.0963855421686747,0.29869477911646586,0.020080321285140562
Gemma 2 9B IT,Middle,0.7956827309236948,0.10542168674698796,0.08785140562248996,0.01104417670682731
Gemma 2 9B IT,Late,0.8594377510040161,0.10843373493975904,0.024096385542168676,0.008032128514056224
Gemma 2 9B IT,Very late,0.8554216867469879,0.10843373493975904,0.028112449799196786,0.008032128514056224
