model,layer,relative_depth,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate,n_samples
DeBERTa hate-tuned,1,0.0,Very early,0.606425702811245,0.6666666666666666,0.5783132530120482,0.40963855421686746,249
DeBERTa hate-tuned,2,0.043478260869565216,Very early,0.5341365461847389,0.6666666666666666,0.40963855421686746,0.6184738955823293,249
DeBERTa hate-tuned,3,0.08695652173913043,Very early,0.5220883534136547,0.6666666666666666,0.5261044176706827,0.46987951807228917,249
DeBERTa hate-tuned,4,0.13043478260869565,Very early,0.5742971887550201,0.6666666666666666,0.5060240963855421,0.4979919678714859,249
DeBERTa hate-tuned,5,0.17391304347826086,Very early,0.5783132530120482,0.6666666666666666,0.5341365461847389,0.42168674698795183,249
DeBERTa hate-tuned,6,0.21739130434782608,Early,0.570281124497992,0.6666666666666666,0.5180722891566265,0.4939759036144578,249
DeBERTa hate-tuned,7,0.2608695652173913,Early,0.5542168674698795,0.6666666666666666,0.5502008032128514,0.46184738955823296,249
DeBERTa hate-tuned,8,0.30434782608695654,Early,0.5582329317269076,0.6666666666666666,0.5461847389558233,0.46586345381526106,249
DeBERTa hate-tuned,9,0.34782608695652173,Early,0.4979919678714859,0.6666666666666666,0.4779116465863454,0.5180722891566265,249
DeBERTa hate-tuned,10,0.391304347826087,Early,0.5421686746987951,0.6666666666666666,0.5381526104417671,0.4979919678714859,249
DeBERTa hate-tuned,11,0.43478260869565216,Middle,0.5461847389558233,0.6666666666666666,0.5662650602409639,0.41365461847389556,249
DeBERTa hate-tuned,12,0.4782608695652174,Middle,0.5783132530120482,0.6666666666666666,0.5180722891566265,0.4779116465863454,249
DeBERTa hate-tuned,13,0.5217391304347826,Middle,0.6345381526104418,0.6666666666666666,0.5582329317269076,0.4939759036144578,249
DeBERTa hate-tuned,14,0.5652173913043478,Middle,0.6265060240963856,0.6666666666666666,0.46987951807228917,0.5903614457831325,249
DeBERTa hate-tuned,15,0.6086956521739131,Late,0.5180722891566265,0.6666666666666666,0.5542168674698795,0.44176706827309237,249
DeBERTa hate-tuned,16,0.6521739130434783,Late,0.5903614457831325,0.6666666666666666,0.5461847389558233,0.4899598393574297,249
DeBERTa hate-tuned,17,0.6956521739130435,Late,0.6907630522088354,0.6666666666666666,0.5903614457831325,0.46184738955823296,249
DeBERTa hate-tuned,18,0.7391304347826086,Late,0.7670682730923695,0.6666666666666666,0.6586345381526104,0.43373493975903615,249
DeBERTa hate-tuned,19,0.782608695652174,Late,0.6265060240963856,0.6666666666666666,0.6144578313253012,0.42168674698795183,249
DeBERTa hate-tuned,20,0.8260869565217391,Very late,0.963855421686747,0.6666666666666666,0.7028112449799196,0.5020080321285141,249
DeBERTa hate-tuned,21,0.8695652173913043,Very late,0.9518072289156626,0.6666666666666666,0.7068273092369478,0.5060240963855421,249
DeBERTa hate-tuned,22,0.9130434782608695,Very late,0.8795180722891566,0.6666666666666666,0.6907630522088354,0.44176706827309237,249
DeBERTa hate-tuned,23,0.9565217391304348,Very late,0.8795180722891566,0.6666666666666666,0.6827309236947792,0.4497991967871486,249
DeBERTa hate-tuned,24,1.0,Very late,0.8795180722891566,0.6666666666666666,0.6666666666666666,0.4899598393574297,249
Gemma 2 2B,1,0.0,Very early,0.5943775100401606,0.5341365461847389,0.6265060240963856,0.6224899598393574,249
Gemma 2 2B,2,0.04,Very early,0.5983935742971888,0.5341365461847389,0.5742971887550201,0.5863453815261044,249
Gemma 2 2B,3,0.08,Very early,0.6305220883534136,0.5341365461847389,0.5903614457831325,0.6024096385542169,249
Gemma 2 2B,4,0.12,Very early,0.6546184738955824,0.5341365461847389,0.5903614457831325,0.6104417670682731,249
Gemma 2 2B,5,0.16,Very early,0.642570281124498,0.5341365461847389,0.5863453815261044,0.606425702811245,249
Gemma 2 2B,6,0.2,Very early,0.6666666666666666,0.5341365461847389,0.642570281124498,0.6465863453815262,249
Gemma 2 2B,7,0.24,Early,0.6706827309236948,0.5341365461847389,0.6465863453815262,0.6506024096385542,249
Gemma 2 2B,8,0.28,Early,0.6586345381526104,0.5341365461847389,0.6506024096385542,0.6546184738955824,249
Gemma 2 2B,9,0.32,Early,0.6706827309236948,0.5341365461847389,0.6385542168674698,0.642570281124498,249
Gemma 2 2B,10,0.36,Early,0.6746987951807228,0.5341365461847389,0.6265060240963856,0.6305220883534136,249
Gemma 2 2B,11,0.4,Early,0.6706827309236948,0.5341365461847389,0.6305220883534136,0.6345381526104418,249
Gemma 2 2B,12,0.44,Middle,0.6746987951807228,0.5341365461847389,0.6345381526104418,0.6385542168674698,249
Gemma 2 2B,13,0.48,Middle,0.6746987951807228,0.5341365461847389,0.6265060240963856,0.6305220883534136,249
Gemma 2 2B,14,0.52,Middle,0.6827309236947792,0.5341365461847389,0.6184738955823293,0.6224899598393574,249
