layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.19999998807907104,False,0.5095477386934674,0.5095477386934674,0.5095477386934674,0.5381526104417671,0.0,0.46184738955823296,0.5341365461847389,0.020080321285140562,0.0,0.0,0.3200364112854004,115
1,0.07083692401647568,False,0.6060301507537689,0.39396984924623113,0.6060301507537689,0.5943775100401606,0.3270559012889862,0.5943775100401606,0.5341365461847389,0.6265060240963856,0.10009846836328506,0.11689016222953796,0.49701380729675293,115
2,0.036847665905952454,True,0.3527638190954774,0.6472361809045226,0.6472361809045226,0.5983935742971888,0.18141749501228333,0.5983935742971888,0.5341365461847389,0.5742971887550201,0.2149340957403183,0.26394277811050415,0.5524166226387024,115
3,0.020753121003508568,True,0.3688442211055276,0.6311557788944724,0.6311557788944724,0.6305220883534137,0.219529926776886,0.6305220883534136,0.5341365461847389,0.5903614457831325,0.3433137834072113,0.29302847385406494,0.579796552658081,115
4,0.021762685850262642,False,0.6592964824120603,0.3407035175879397,0.6592964824120603,0.6546184738955824,0.26657167077064514,0.6546184738955824,0.5341365461847389,0.5903614457831325,0.2637172043323517,0.41926419734954834,0.5837931036949158,115
5,0.019921619445085526,False,0.6462311557788945,0.35376884422110555,0.6462311557788945,0.642570281124498,0.26142215728759766,0.642570281124498,0.5341365461847389,0.5863453815261044,0.27384719252586365,0.4951234459877014,0.5882453322410583,115
6,0.00466227438300848,False,0.6633165829145728,0.33668341708542715,0.6633165829145728,0.6666666666666666,0.3275297284126282,0.6666666666666666,0.5341365461847389,0.642570281124498,0.18573197722434998,0.0548359751701355,0.37675949931144714,115
7,0.005371939390897751,False,0.6663316582914572,0.3336683417085427,0.6663316582914572,0.6706827309236948,0.36419478058815,0.6706827309236948,0.5341365461847389,0.6465863453815262,0.19879329204559326,0.06737641990184784,0.36509227752685547,115
8,0.004185102880001068,True,0.33969849246231154,0.6603015075376885,0.6603015075376885,0.6586345381526104,0.45698392391204834,0.6586345381526104,0.5341365461847389,0.6506024096385542,0.2122906744480133,0.055333517491817474,0.3588186800479889,115
9,0.0034529785625636578,True,0.33668341708542715,0.6633165829145728,0.6633165829145728,0.6706827309236948,0.42770883440971375,0.6706827309236948,0.5341365461847389,0.6385542168674698,0.21086305379867554,0.0819171890616417,0.3728500008583069,115
10,0.0033103981986641884,True,0.3306532663316583,0.6693467336683417,0.6693467336683417,0.6746987951807228,0.38660386204719543,0.6746987951807228,0.5341365461847389,0.6265060240963856,0.2267393320798874,0.08198171854019165,0.3633645176887512,115
11,0.0034186700358986855,False,0.6663316582914572,0.3336683417085427,0.6663316582914572,0.6706827309236948,0.3875638544559479,0.6706827309236948,0.5341365461847389,0.6305220883534136,0.19905520975589752,0.07688356190919876,0.3657302260398865,115
12,0.003257742151618004,False,0.6653266331658292,0.33467336683417087,0.6653266331658292,0.6746987951807228,0.3481091260910034,0.6746987951807228,0.5341365461847389,0.6345381526104418,0.2314395010471344,0.09432215988636017,0.3747800290584564,115
