layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.19963984191417694,True,0.5095477386934674,0.5105527638190954,0.5105527638190954,0.5381526104417671,0.0,0.46184738955823296,0.8714859437751004,0.3333333333333333,0.0,0.0,0.3156019449234009,115
1,0.09123660624027252,False,0.5668341708542713,0.43316582914572865,0.5668341708542713,0.5421686746987951,0.25729286670684814,0.5421686746987951,0.8714859437751004,0.5100401606425703,0.09352758526802063,0.08636529743671417,0.4427964985370636,115
2,0.04084305465221405,True,0.3849246231155779,0.6150753768844222,0.6150753768844222,0.6104417670682731,0.1747199296951294,0.6104417670682731,0.8714859437751004,0.642570281124498,0.26549482345581055,0.2892921566963196,0.5712657570838928,115
3,0.030592799186706543,False,0.6311557788944724,0.3688442211055276,0.6311557788944724,0.6024096385542169,0.2975747585296631,0.6024096385542169,0.8714859437751004,0.5943775100401606,0.3681366443634033,0.43303382396698,0.5908400416374207,115
4,0.02401924878358841,False,0.6301507537688442,0.3698492462311558,0.6301507537688442,0.5983935742971888,0.29623302817344666,0.5983935742971888,0.8714859437751004,0.606425702811245,0.3825220465660095,0.4364737272262573,0.6061795353889465,115
5,0.02121778018772602,False,0.6211055276381909,0.37889447236180906,0.6211055276381909,0.5983935742971888,0.25076091289520264,0.5983935742971888,0.8714859437751004,0.5903614457831325,0.38215145468711853,0.46230652928352356,0.5946491360664368,115
6,0.01975054293870926,False,0.6603015075376885,0.33969849246231154,0.6603015075376885,0.6506024096385542,0.20641091465950012,0.6506024096385542,0.8714859437751004,0.6506024096385542,0.35207781195640564,0.3679119944572449,0.5847359299659729,115
7,0.004326457157731056,False,0.6572864321608041,0.342713567839196,0.6572864321608041,0.6706827309236948,0.2595188617706299,0.6706827309236948,0.8714859437751004,0.5903614457831325,0.19734156131744385,0.03933035582304001,0.3512164354324341,115
8,0.002187978010624647,True,0.3336683417085427,0.6663316582914572,0.6663316582914572,0.678714859437751,0.6020058989524841,0.678714859437751,0.8714859437751004,0.5983935742971888,0.20566710829734802,0.03488929569721222,0.3387967050075531,115
9,0.002036718185991049,True,0.3326633165829146,0.6673366834170854,0.6673366834170854,0.678714859437751,0.5887643098831177,0.678714859437751,0.8714859437751004,0.5983935742971888,0.23019634187221527,0.035169150680303574,0.35184764862060547,115
10,0.0020110143814235926,True,0.3326633165829146,0.6673366834170854,0.6673366834170854,0.6827309236947792,0.5809808969497681,0.6827309236947792,0.8714859437751004,0.6024096385542169,0.239265576004982,0.04036102071404457,0.3544229567050934,115
11,0.0017600029241293669,True,0.3306532663316583,0.6693467336683417,0.6693467336683417,0.678714859437751,0.5866004228591919,0.678714859437751,0.8714859437751004,0.5983935742971888,0.2289447784423828,0.04713115468621254,0.356221467256546,115
12,0.0017575724050402641,False,0.6683417085427136,0.3316582914572864,0.6683417085427136,0.6746987951807228,0.6006128787994385,0.6746987951807228,0.8714859437751004,0.5943775100401606,0.2298259288072586,0.042792629450559616,0.382190078496933,115
