dataset,model,threshold_type,threshold,split,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
mixed,deberta-hate-tuned,fixed_0.5,0.5,train,0.7105527638190955,0.7050332233970317,0.9854368932038835,0.41598360655737704,0.5850144092219021,504,3,285,203
mixed,deberta-hate-tuned,fixed_0.5,0.5,test,0.6666666666666666,0.6896820246593122,0.9811320754716981,0.3880597014925373,0.5561497326203209,114,1,82,52
mixed,deberta-hate-tuned,train_optimized,0.007111604,train,0.8462311557788945,0.8463094545219387,0.8383838383838383,0.8504098360655737,0.844354018311292,427,80,73,415
mixed,deberta-hate-tuned,train_optimized,0.007111604,test,0.8273092369477911,0.8278390655418559,0.8527131782945736,0.8208955223880597,0.8365019011406845,96,19,24,110
mixed,gemma-2-2b,fixed_0.5,0.5,train,0.48542713567839196,0.49437788986969317,0.487551867219917,0.9631147540983607,0.6473829201101928,13,494,18,470
mixed,gemma-2-2b,fixed_0.5,0.5,test,0.5341365461847389,0.4975016223231668,0.5368852459016393,0.9776119402985075,0.6931216931216931,2,113,3,131
mixed,gemma-2-2b,train_optimized,0.6894572,train,0.5105527638190954,0.5010629870339832,0.6666666666666666,0.004098360655737705,0.008146639511201629,506,1,486,2
mixed,gemma-2-2b,train_optimized,0.6894572,test,0.46184738955823296,0.4993835171966256,0.5,0.007462686567164179,0.014705882352941176,114,1,133,1
mixed,gemma-2-2b-it,fixed_0.5,0.5,train,0.4904522613065327,0.5,0.4904522613065327,1.0,0.6581254214430209,0,507,0,488
mixed,gemma-2-2b-it,fixed_0.5,0.5,test,0.5381526104417671,0.5,0.5381526104417671,1.0,0.6997389033942559,0,115,0,134
mixed,gemma-2-2b-it,train_optimized,0.9992046,train,0.893467336683417,0.8931980955152455,0.9012605042016807,0.8790983606557377,0.8900414937759336,460,47,59,429
mixed,gemma-2-2b-it,train_optimized,0.9992046,test,0.8674698795180723,0.8670019467878001,0.8796992481203008,0.8731343283582089,0.8764044943820225,99,16,17,117
mixed,gemma-2-9b,fixed_0.5,0.5,train,0.5376884422110553,0.5288037152003104,0.9117647058823529,0.06352459016393443,0.11877394636015326,504,3,457,31
mixed,gemma-2-9b,fixed_0.5,0.5,test,0.46987951807228917,0.5068462037637897,0.75,0.022388059701492536,0.043478260869565216,114,1,131,3
mixed,gemma-2-9b,train_optimized,0.43782347,train,0.6522613065326633,0.653247971028551,0.63003663003663,0.7049180327868853,0.6653771760154739,305,202,144,344
mixed,gemma-2-9b,train_optimized,0.43782347,test,0.6827309236947792,0.676865671641791,0.6870748299319728,0.753731343283582,0.7188612099644128,69,46,33,101
mixed,gemma-2-9b-it,fixed_0.5,0.5,train,0.8683417085427135,0.8706550910207909,0.7921440261865794,0.9918032786885246,0.8808007279344859,380,127,4,484
mixed,gemma-2-9b-it,fixed_0.5,0.5,test,0.8714859437751004,0.8608695652173913,0.8072289156626506,1.0,0.8933333333333333,83,32,0,134
mixed,gemma-2-9b-it,train_optimized,0.9971551,train,0.9768844221105528,0.9767799980599476,0.9813664596273292,0.9713114754098361,0.976313079299691,498,9,14,474
mixed,gemma-2-9b-it,train_optimized,0.9971551,test,0.9558232931726908,0.9552563270603505,0.9555555555555556,0.9626865671641791,0.9591078066914498,109,6,5,129
not,deberta-hate-tuned,fixed_0.5,0.5,train,0.697,0.6946204557091654,0.9800995024875622,0.3971774193548387,0.5652797704447633,500,4,299,197
not,deberta-hate-tuned,fixed_0.5,0.5,test,0.62,0.6315266833237235,0.9722222222222222,0.2713178294573643,0.42424242424242425,120,1,94,35
not,deberta-hate-tuned,train_optimized,0.0074927662,train,0.819,0.8186123911930363,0.8507795100222717,0.7701612903225806,0.8084656084656084,437,67,114,382
not,deberta-hate-tuned,train_optimized,0.0074927662,test,0.768,0.7700685501954001,0.8198198198198198,0.7054263565891473,0.7583333333333333,101,20,38,91
not,gemma-2-2b,fixed_0.5,0.5,train,0.498,0.5018561187916026,0.4969450101832994,0.9838709677419355,0.6603518267929634,10,494,8,488
not,gemma-2-2b,fixed_0.5,0.5,test,0.512,0.49612403100775193,0.5140562248995983,0.9922480620155039,0.6772486772486772,0,121,1,128
not,gemma-2-2b,train_optimized,0.69188744,train,0.507,0.5030401945724526,0.8,0.008064516129032258,0.015968063872255488,503,1,492,4
not,gemma-2-2b,train_optimized,0.69188744,test,0.48,0.49586776859504134,0.0,0.0,0.0,120,1,129,0
not,gemma-2-2b-it,fixed_0.5,0.5,train,0.496,0.5,0.496,1.0,0.6631016042780749,0,504,0,496
not,gemma-2-2b-it,fixed_0.5,0.5,test,0.516,0.5,0.516,1.0,0.6807387862796834,0,121,0,129
not,gemma-2-2b-it,train_optimized,0.99918157,train,0.852,0.8519905273937531,0.8508064516129032,0.8508064516129032,0.8508064516129032,430,74,74,422
not,gemma-2-2b-it,train_optimized,0.99918157,test,0.876,0.8775385995259146,0.9224137931034483,0.8294573643410853,0.8734693877551021,112,9,22,107
not,gemma-2-9b,fixed_0.5,0.5,train,0.542,0.5383384536610343,0.9523809523809523,0.08064516129032258,0.14869888475836432,502,2,456,40
not,gemma-2-9b,fixed_0.5,0.5,test,0.528,0.5426356589147286,1.0,0.08527131782945736,0.15714285714285714,121,0,118,11
not,gemma-2-9b,train_optimized,0.43782347,train,0.691,0.6915482590885818,0.6649029982363316,0.7600806451612904,0.70931326434619,314,190,119,377
not,gemma-2-9b,train_optimized,0.43782347,test,0.716,0.7137869178038311,0.7013888888888888,0.7829457364341085,0.73992673992674,78,43,28,101
not,gemma-2-9b-it,fixed_0.5,0.5,train,0.81,0.8114759344598055,0.7243401759530792,0.9959677419354839,0.8387096774193549,316,188,2,494
not,gemma-2-9b-it,fixed_0.5,0.5,test,0.852,0.8476199628419501,0.7839506172839507,0.9844961240310077,0.872852233676976,86,35,2,127
not,gemma-2-9b-it,train_optimized,0.9971551,train,0.961,0.9608774961597542,0.975051975051975,0.9455645161290323,0.9600818833162743,492,12,27,469
