dataset,model,behavioral_threshold,train_accuracy,train_balanced_accuracy,n_train,n_test
mixed,deberta-hate-tuned,0.007111604,0.8462311557788945,0.8463094545219387,995,249
mixed,gemma-2-2b,0.6894572,0.5105527638190954,0.5010629870339832,995,249
mixed,gemma-2-2b-it,0.9992046,0.893467336683417,0.8931980955152455,995,249
mixed,gemma-2-9b,0.43782347,0.6522613065326633,0.653247971028551,995,249
mixed,gemma-2-9b-it,0.9971551,0.9768844221105528,0.9767799980599476,995,249
not,deberta-hate-tuned,0.0074927662,0.819,0.8186123911930363,1000,250
not,gemma-2-2b,0.69188744,0.507,0.5030401945724526,1000,250
not,gemma-2-2b-it,0.99918157,0.852,0.8519905273937531,1000,250
not,gemma-2-9b,0.43782347,0.691,0.6915482590885818,1000,250
not,gemma-2-9b-it,0.9971551,0.961,0.9608774961597542,1000,250
