layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count,model
0,0.199999988079071,False,0.5095477386934674,0.5095477386934674,0.5095477386934674,0.5381526104417671,0.0,0.4618473895582329,0.5341365461847389,0.0200803212851405,0.0,0.0,0.3200364112854004,115,gemma-2-2b
1,0.0708369240164756,False,0.6060301507537689,0.3939698492462311,0.6060301507537689,0.5943775100401606,0.3270559012889862,0.5943775100401606,0.5341365461847389,0.6265060240963856,0.100098468363285,0.1168901622295379,0.4970138072967529,115,gemma-2-2b
2,0.0368476659059524,True,0.3527638190954774,0.6472361809045226,0.6472361809045226,0.5983935742971888,0.1814174950122833,0.5983935742971888,0.5341365461847389,0.5742971887550201,0.2149340957403183,0.2639427781105041,0.5524166226387024,115,gemma-2-2b
3,0.0207531210035085,True,0.3688442211055276,0.6311557788944724,0.6311557788944724,0.6305220883534137,0.219529926776886,0.6305220883534136,0.5341365461847389,0.5903614457831325,0.3433137834072113,0.2930284738540649,0.579796552658081,115,gemma-2-2b
4,0.0217626858502626,False,0.6592964824120603,0.3407035175879397,0.6592964824120603,0.6546184738955824,0.2665716707706451,0.6546184738955824,0.5341365461847389,0.5903614457831325,0.2637172043323517,0.4192641973495483,0.5837931036949158,115,gemma-2-2b
5,0.0199216194450855,False,0.6462311557788945,0.3537688442211055,0.6462311557788945,0.642570281124498,0.2614221572875976,0.642570281124498,0.5341365461847389,0.5863453815261044,0.2738471925258636,0.4951234459877014,0.5882453322410583,115,gemma-2-2b
6,0.0046622743830084,False,0.6633165829145728,0.3366834170854271,0.6633165829145728,0.6666666666666666,0.3275297284126282,0.6666666666666666,0.5341365461847389,0.642570281124498,0.1857319772243499,0.0548359751701355,0.3767594993114471,115,gemma-2-2b
7,0.0053719393908977,False,0.6663316582914572,0.3336683417085427,0.6663316582914572,0.6706827309236948,0.36419478058815,0.6706827309236948,0.5341365461847389,0.6465863453815262,0.1987932920455932,0.0673764199018478,0.3650922775268554,115,gemma-2-2b
8,0.004185102880001,True,0.3396984924623115,0.6603015075376885,0.6603015075376885,0.6586345381526104,0.4569839239120483,0.6586345381526104,0.5341365461847389,0.6506024096385542,0.2122906744480133,0.0553335174918174,0.3588186800479889,115,gemma-2-2b
9,0.0034529785625636,True,0.3366834170854271,0.6633165829145728,0.6633165829145728,0.6706827309236948,0.4277088344097137,0.6706827309236948,0.5341365461847389,0.6385542168674698,0.2108630537986755,0.0819171890616417,0.3728500008583069,115,gemma-2-2b
10,0.0033103981986641,True,0.3306532663316583,0.6693467336683417,0.6693467336683417,0.6746987951807228,0.3866038620471954,0.6746987951807228,0.5341365461847389,0.6265060240963856,0.2267393320798874,0.0819817185401916,0.3633645176887512,115,gemma-2-2b
11,0.0034186700358986,False,0.6663316582914572,0.3336683417085427,0.6663316582914572,0.6706827309236948,0.3875638544559479,0.6706827309236948,0.5341365461847389,0.6305220883534136,0.1990552097558975,0.0768835619091987,0.3657302260398865,115,gemma-2-2b
12,0.003257742151618,False,0.6653266331658292,0.3346733668341708,0.6653266331658292,0.6746987951807228,0.3481091260910034,0.6746987951807228,0.5341365461847389,0.6345381526104418,0.2314395010471344,0.0943221598863601,0.3747800290584564,115,gemma-2-2b
13,0.0033919671550393,True,0.3346733668341708,0.6653266331658292,0.6653266331658292,0.6746987951807228,0.3129619061946869,0.6746987951807228,0.5341365461847389,0.6265060240963856,0.2435602396726608,0.097503662109375,0.3797628283500671,115,gemma-2-2b
14,0.0036987492348998,False,0.6673366834170854,0.3326633165829146,0.6673366834170854,0.6827309236947792,0.3091073334217071,0.6827309236947792,0.5341365461847389,0.6184738955823293,0.2243263572454452,0.0740092992782592,0.3558956384658813,115,gemma-2-2b
15,0.0040462431497871,True,0.3246231155778894,0.6753768844221105,0.6753768844221105,0.6706827309236948,0.2891979217529297,0.6706827309236948,0.5341365461847389,0.6224899598393574,0.2340905964374542,0.079235702753067,0.3551048636436462,115,gemma-2-2b
16,0.0046062055043876,True,0.3246231155778894,0.6753768844221105,0.6753768844221105,0.6746987951807228,0.2511488497257232,0.6746987951807228,0.5341365461847389,0.6184738955823293,0.2065749615430832,0.0863001719117164,0.3509982228279114,115,gemma-2-2b
17,0.0050015631131827,False,0.8894472361809045,0.1105527638190954,0.8894472361809045,0.8835341365461847,0.1985592991113662,0.8835341365461847,0.5341365461847389,0.5060240963855421,0.2289879620075225,0.2181164920330047,0.4702319800853729,115,gemma-2-2b
18,0.0050208279862999,True,0.1155778894472361,0.8844221105527639,0.8844221105527639,0.8714859437751004,0.1902018189430236,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.1817088723182678,0.200589895248413,0.4936921894550323,115,gemma-2-2b
19,0.0055561447516083,False,0.8824120603015075,0.1175879396984924,0.8824120603015075,0.8714859437751004,0.1880090236663818,0.8714859437751004,0.5341365461847389,0.5020080321285141,0.2023928314447403,0.1978746205568313,0.4670827984809875,115,gemma-2-2b
20,0.0058236559852957,True,0.1175879396984924,0.8824120603015075,0.8824120603015075,0.8755020080321285,0.2022489160299301,0.8755020080321285,0.5341365461847389,0.5060240963855421,0.1875773072242736,0.1897567957639694,0.4943056404590606,115,gemma-2-2b
