dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
mixed,gemma-2-9b-it,0,0.8689710610932476,0.0008038585209003215,0.1302250803858521,0.0
mixed,gemma-2-9b-it,1,0.48392282958199356,0.3858520900321543,0.07797427652733119,0.0522508038585209
mixed,gemma-2-9b-it,2,0.5610932475884244,0.3086816720257235,0.05305466237942122,0.07717041800643087
mixed,gemma-2-9b-it,3,0.5578778135048231,0.31189710610932475,0.06752411575562701,0.06270096463022508
mixed,gemma-2-9b-it,4,0.5538585209003215,0.3159163987138264,0.06993569131832797,0.06028938906752412
mixed,gemma-2-9b-it,5,0.547427652733119,0.32234726688102894,0.06913183279742766,0.06109324758842444
mixed,gemma-2-9b-it,6,0.5908360128617364,0.27893890675241156,0.06752411575562701,0.06270096463022508
mixed,gemma-2-9b-it,7,0.5627009646302251,0.3070739549839228,0.0972668810289389,0.03295819935691318
mixed,gemma-2-9b-it,8,0.5707395498392283,0.2990353697749196,0.09807073954983923,0.03215434083601286
mixed,gemma-2-9b-it,9,0.5707395498392283,0.2990353697749196,0.09887459807073955,0.03135048231511254
mixed,gemma-2-9b-it,10,0.572347266881029,0.297427652733119,0.09807073954983923,0.03215434083601286
mixed,gemma-2-9b-it,11,0.5731511254019293,0.2966237942122186,0.09807073954983923,0.03215434083601286
mixed,gemma-2-9b-it,12,0.572347266881029,0.297427652733119,0.0972668810289389,0.03295819935691318
mixed,gemma-2-9b-it,13,0.572347266881029,0.297427652733119,0.09807073954983923,0.03215434083601286
mixed,gemma-2-9b-it,14,0.5763665594855305,0.2934083601286174,0.09887459807073955,0.03135048231511254
mixed,gemma-2-9b-it,15,0.5755627009646302,0.2942122186495177,0.09887459807073955,0.03135048231511254
mixed,gemma-2-9b-it,16,0.5779742765273312,0.29180064308681675,0.09807073954983923,0.03215434083601286
mixed,gemma-2-9b-it,17,0.5852090032154341,0.2845659163987138,0.10048231511254019,0.0297427652733119
mixed,gemma-2-9b-it,18,0.5771704180064309,0.29260450160771706,0.09887459807073955,0.03135048231511254
mixed,gemma-2-9b-it,19,0.5827974276527331,0.2869774919614148,0.10048231511254019,0.0297427652733119
mixed,gemma-2-9b-it,20,0.8504823151125402,0.01929260450160772,0.12379421221864952,0.006430868167202572
mixed,gemma-2-9b-it,21,0.8384244372990354,0.03135048231511254,0.12379421221864952,0.006430868167202572
mixed,gemma-2-9b-it,22,0.8496784565916399,0.02009646302250804,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,23,0.8536977491961415,0.01607717041800643,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,24,0.8520900321543409,0.017684887459807074,0.12379421221864952,0.006430868167202572
mixed,gemma-2-9b-it,25,0.8536977491961415,0.01607717041800643,0.12218649517684887,0.008038585209003215
mixed,gemma-2-9b-it,26,0.8528938906752411,0.016881028938906754,0.12138263665594855,0.008842443729903537
mixed,gemma-2-9b-it,27,0.8504823151125402,0.01929260450160772,0.12138263665594855,0.008842443729903537
mixed,gemma-2-9b-it,28,0.8504823151125402,0.01929260450160772,0.12138263665594855,0.008842443729903537
mixed,gemma-2-9b-it,29,0.8496784565916399,0.02009646302250804,0.12138263665594855,0.008842443729903537
mixed,gemma-2-9b-it,30,0.8488745980707395,0.02090032154340836,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,31,0.8480707395498392,0.021704180064308683,0.12218649517684887,0.008038585209003215
mixed,gemma-2-9b-it,32,0.844855305466238,0.02491961414790997,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,33,0.8432475884244373,0.02652733118971061,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,34,0.8432475884244373,0.02652733118971061,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,35,0.8432475884244373,0.02652733118971061,0.12379421221864952,0.006430868167202572
mixed,gemma-2-9b-it,36,0.8440514469453376,0.02572347266881029,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,37,0.8432475884244373,0.02652733118971061,0.12218649517684887,0.008038585209003215
mixed,gemma-2-9b-it,38,0.8440514469453376,0.02572347266881029,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,39,0.844855305466238,0.02491961414790997,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,40,0.844855305466238,0.02491961414790997,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,41,0.8440514469453376,0.02572347266881029,0.1229903536977492,0.007234726688102894
mixed,gemma-2-9b-it,42,0.8440514469453376,0.02572347266881029,0.12138263665594855,0.008842443729903537
