dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
mixed,gemma-2-9b-it,0,both_aligned,1081,0.8689710610932476,0.9991374,0.5,0.9708678819679001,0.500547934107308,0.49913067,0.47031994786059206,-0.49913067
mixed,gemma-2-9b-it,0,aligned_output_misaligned_latent,1,0.0008038585209003215,0.991554372,0.20129496000000002,0.991554372,0.20129496000000002,0.7902594119999999,0.7902594119999999,-0.7902594119999999
mixed,gemma-2-9b-it,0,misaligned_output_aligned_latent,162,0.1302250803858521,0.06608703500000002,0.5,0.11608479455555555,0.5,0.433912965,0.38391520544444446,0.433912965
mixed,gemma-2-9b-it,0,both_misaligned,0,0.0,,,,,,,
mixed,gemma-2-9b-it,1,both_aligned,602,0.48392282958199356,0.9992563,0.694593,0.9748869905284053,0.6972069787740864,0.28922501,0.28569775295033223,-0.2867431649999999
mixed,gemma-2-9b-it,1,aligned_output_misaligned_latent,480,0.3858520900321543,0.9988575,0.330387415,0.9658703468358334,0.3178432138354167,0.6354540023,0.6480271330004167,-0.6354540023
mixed,gemma-2-9b-it,1,misaligned_output_aligned_latent,97,0.07797427652733119,0.055823150000000044,0.75319088,0.10786704041237115,0.7459115216185568,0.65790134,0.6380444812061855,0.65790134
mixed,gemma-2-9b-it,1,both_misaligned,65,0.0522508038585209,0.08882034000000005,0.34574320000000003,0.12834821227692306,0.3401487113846154,0.2452217,0.23168119049230768,0.24297194
mixed,gemma-2-9b-it,2,both_aligned,698,0.5610932475884244,0.999226685,0.8812865249999999,0.9746244867073066,0.8449184638787965,0.11658523300000001,0.1529374520691977,-0.098842225
mixed,gemma-2-9b-it,2,aligned_output_misaligned_latent,384,0.3086816720257235,0.998943295,0.183780315,0.9640933412958334,0.2055043772283854,0.76918978,0.758588964067448,-0.76918978
mixed,gemma-2-9b-it,2,misaligned_output_aligned_latent,66,0.05305466237942122,0.07586545,0.891959487,0.13445534371212123,0.8597264995651515,0.7554430295000001,0.7252711558530304,0.7554430295000001
mixed,gemma-2-9b-it,2,both_misaligned,96,0.07717041800643087,0.061425600000000025,0.08912720000000002,0.10345504201041666,0.14789722864583332,0.096620545,0.14147783455208332,0.027223715000000037
mixed,gemma-2-9b-it,3,both_aligned,694,0.5578778135048231,0.9992446,0.93909913,0.9739519509046108,0.8822496728771384,0.06172254999999999,0.11895595193074064,-0.04472973249999995
mixed,gemma-2-9b-it,3,aligned_output_misaligned_latent,388,0.31189710610932475,0.99878868,0.09898477,0.9654048475554123,0.14925315387597937,0.8579741435000001,0.8161516936794331,-0.8579741435000001
mixed,gemma-2-9b-it,3,misaligned_output_aligned_latent,84,0.06752411575562701,0.07696080000000005,0.90469227,0.12655770988095238,0.8710900305233429,0.7933260605,0.7445323206423905,0.7933260605
mixed,gemma-2-9b-it,3,both_misaligned,78,0.06270096463022508,0.05966052500000002,0.077659965,0.10480627035897437,0.12402875444871796,0.08103389999999999,0.13693645647435898,0.0017817550000000515
mixed,gemma-2-9b-it,4,both_aligned,689,0.5538585209003215,0.9992446,0.96560616,0.9744250084615385,0.9075212606130237,0.04023600429999996,0.09722102362347358,-0.02097565999999995
mixed,gemma-2-9b-it,4,aligned_output_misaligned_latent,393,0.3159163987138264,0.9988305,0.08224379999999998,0.9646842339676844,0.13478692463553943,0.8781569100000001,0.8298973093321451,-0.8781569100000001
mixed,gemma-2-9b-it,4,misaligned_output_aligned_latent,87,0.06993569131832797,0.07585819999999999,0.943296436,0.12671009264367816,0.8859488405423679,0.81337718,0.7592387478986897,0.81337718
mixed,gemma-2-9b-it,4,both_misaligned,75,0.06028938906752412,0.06097520000000001,0.03133726000000003,0.10375944877333333,0.09793048376533334,0.07147064999999997,0.125929370928,-0.0027882399999999974
mixed,gemma-2-9b-it,5,both_aligned,681,0.547427652733119,0.9992735,0.97176015,0.975814278734655,0.9101157413564377,0.03469891920000001,0.09509660208991777,-0.018669900000000017
mixed,gemma-2-9b-it,5,aligned_output_misaligned_latent,401,0.32234726688102894,0.998735578,0.07462880000000005,0.9625192293291771,0.13018045143505236,0.88572463,0.8323387778941247,-0.88572463
mixed,gemma-2-9b-it,5,misaligned_output_aligned_latent,86,0.06913183279742766,0.07640950000000002,0.9596721865,0.12829280116279068,0.9065680687498117,0.8301166928554999,0.7782752675870209,0.8301166928554999
mixed,gemma-2-9b-it,5,both_misaligned,76,0.06109324758842444,0.06097520000000001,0.03351634999999997,0.10227047128947368,0.10590988433289474,0.07758258500000004,0.13518594806184211,-0.013103130000000018
mixed,gemma-2-9b-it,6,both_aligned,735,0.5908360128617364,0.99929035,0.973045582,0.9755077310512925,0.9141074816156075,0.030049065310000067,0.09070242495533537,-0.016560699999999984
mixed,gemma-2-9b-it,6,aligned_output_misaligned_latent,347,0.27893890675241156,0.99837697,0.07621573999999998,0.9610995748028819,0.13563855479794726,0.86559069,0.8254610200049346,-0.86559069
mixed,gemma-2-9b-it,6,misaligned_output_aligned_latent,84,0.06752411575562701,0.07066964999999997,0.9751835425,0.12407285285714285,0.9260737276947143,0.8539250181000001,0.8020008748375714,0.8539250181000001
mixed,gemma-2-9b-it,6,both_misaligned,78,0.06270096463022508,0.06187600000000004,0.07039341499999996,0.10748227023076924,0.1342242489371795,0.08739602499999999,0.1343338850628205,0.004590389999999944
mixed,gemma-2-9b-it,7,both_aligned,700,0.5627009646302251,0.9993436,0.9707656149999999,0.9647318498192857,0.9522909946364286,0.03900679400000001,0.07282992629914285,-0.024480874999999958
mixed,gemma-2-9b-it,7,aligned_output_misaligned_latent,382,0.3070739549839228,0.9960850584500001,0.01939246,0.9821660730518323,0.042049402776439794,0.9663831620000001,0.9401166702753927,-0.9663831620000001
