dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
mixed,deberta-hate-tuned,0,both_aligned,873,0.7017684887459807,0.9946103706,0.5,0.9606307551009163,0.5,0.4946103706,0.4606307551009164,-0.4946103706
mixed,deberta-hate-tuned,0,aligned_output_misaligned_latent,0,0.0,,,,,,,
mixed,deberta-hate-tuned,0,misaligned_output_aligned_latent,371,0.2982315112540193,0.014678295,0.5,0.06415054104878706,0.5,0.485321705,0.4358494589512129,0.485321705
mixed,deberta-hate-tuned,0,both_misaligned,0,0.0,,,,,,,
mixed,deberta-hate-tuned,1,both_aligned,567,0.4557877813504823,0.9953219267,0.5202823999999999,0.9709722661925925,0.5215902430864198,0.4706306456,0.44945011330017637,-0.4706306456
mixed,deberta-hate-tuned,1,aligned_output_misaligned_latent,306,0.2459807073954984,0.990056416,0.482051385,0.9414685433722222,0.4809922443137255,0.500538173,0.4604762990584967,-0.500538173
mixed,deberta-hate-tuned,1,misaligned_output_aligned_latent,178,0.14308681672025725,0.018898815,0.5214957,0.08207348826797753,0.5255714899999999,0.49753860149999996,0.4434980017320225,0.49753860149999996
mixed,deberta-hate-tuned,1,both_misaligned,193,0.15514469453376206,0.011109186,0.47855318,0.04762056900207254,0.47923112735751294,0.459564048,0.4316830106870467,0.459564048
mixed,deberta-hate-tuned,2,both_aligned,429,0.34485530546623794,0.9942165883,0.58267403,0.9517104087181818,0.6001008896037296,0.37013530000000006,0.3536349537997669,-0.37013530000000006
mixed,deberta-hate-tuned,2,aligned_output_misaligned_latent,444,0.35691318327974275,0.9948657498,0.44204652499999997,0.9692497384301803,0.42995964932432434,0.545629078,0.5392900891058559,-0.545629078
mixed,deberta-hate-tuned,2,misaligned_output_aligned_latent,251,0.20176848874598072,0.019445753,0.5680354,0.07121335254900397,0.5690403569721115,0.5317763590000001,0.49782700442310757,0.5317763590000001
mixed,deberta-hate-tuned,2,both_misaligned,120,0.09646302250803858,0.008413938499999999,0.39949605,0.049377493660833334,0.3878943129166667,0.343883585,0.3416118260891666,0.343883585
mixed,deberta-hate-tuned,3,both_aligned,480,0.3858520900321543,0.994964058,0.5662668,0.960998863265625,0.5725589490416667,0.4206903354,0.39264294601562505,-0.4206903354
mixed,deberta-hate-tuned,3,aligned_output_misaligned_latent,393,0.3159163987138264,0.9942005533,0.44307286,0.9601811573424937,0.4332564419338422,0.5321020298,0.5269247154086514,-0.5321020298
mixed,deberta-hate-tuned,3,misaligned_output_aligned_latent,195,0.1567524115755627,0.022363296,0.5914365,0.07410355551538463,0.6097324370256411,0.538859278,0.5356288815102564,0.538859278
mixed,deberta-hate-tuned,3,both_misaligned,176,0.1414790996784566,0.01028945825,0.45100070000000003,0.05312305342954546,0.4474718202272727,0.42173288864999997,0.39534608929772724,0.42173288864999997
mixed,deberta-hate-tuned,4,both_aligned,493,0.3963022508038585,0.995132146,0.6687577,0.957881226970994,0.6634921046450305,0.30110080000000006,0.30228771526713993,-0.30110080000000006
mixed,deberta-hate-tuned,4,aligned_output_misaligned_latent,380,0.3054662379421222,0.9937478863,0.32970212499999996,0.9641979060694736,0.3331967614736842,0.630288169,0.6310011445957895,-0.630288169
mixed,deberta-hate-tuned,4,misaligned_output_aligned_latent,230,0.18488745980707397,0.019512737500000002,0.6729207500000001,0.07340312016521738,0.6746800212608695,0.6181693907,0.6012769010956522,0.6181693907
mixed,deberta-hate-tuned,4,both_misaligned,141,0.11334405144694534,0.0101358015,0.39441407,0.04905768149716312,0.37359066,0.355204031,0.329700737935461,0.355204031
mixed,deberta-hate-tuned,5,both_aligned,549,0.4413183279742765,0.9955308903,0.67794603,0.9692262175861566,0.6716935708014572,0.312343418,0.31141883534571946,-0.3114547082999999
mixed,deberta-hate-tuned,5,aligned_output_misaligned_latent,324,0.2604501607717042,0.990245102,0.3659857,0.9460662214453703,0.3506940187654321,0.589034655,0.5953722026799383,-0.589034655
mixed,deberta-hate-tuned,5,misaligned_output_aligned_latent,199,0.159967845659164,0.01564361,0.7452685,0.06953941450904523,0.7316617234170855,0.6672011,0.6621223089080402,0.6672011
mixed,deberta-hate-tuned,5,both_misaligned,172,0.1382636655948553,0.012151301,0.372703615,0.057915739777906976,0.3672931435465116,0.3262602177,0.3148589844662791,0.3262602177
mixed,deberta-hate-tuned,6,both_aligned,504,0.40514469453376206,0.9953445868999999,0.6957111300000001,0.9664802211625,0.6808866718055555,0.2773700881000001,0.2946169585632936,-0.2773700881000001
mixed,deberta-hate-tuned,6,aligned_output_misaligned_latent,369,0.2966237942122186,0.992981266,0.3433225,0.9526412404802168,0.3433938969105691,0.62756913,0.6092473435696477,-0.62756913
mixed,deberta-hate-tuned,6,misaligned_output_aligned_latent,191,0.1535369774919614,0.021524943,0.6929601,0.0712180387513089,0.6750348161256545,0.612450869,0.6038167773743456,0.612450869
mixed,deberta-hate-tuned,6,both_misaligned,180,0.14469453376205788,0.0106064605,0.343815035,0.056651140708888895,0.3445510797222222,0.27949595545,0.29872397868,0.27949595545
mixed,deberta-hate-tuned,7,both_aligned,517,0.41559485530546625,0.9952538027,0.70499724,0.966655271867118,0.6998545100193424,0.2750322799999999,0.27795026231199227,-0.2735018
mixed,deberta-hate-tuned,7,aligned_output_misaligned_latent,356,0.2861736334405145,0.9935282745,0.35061443999999997,0.9518816675499999,0.3317635358988764,0.6103056389,0.6201181316511236,-0.6103056389
