dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
mixed,gemma-2-2b-it,0,both_aligned,622,0.5,0.9995463499999999,0.5,0.9992400558038586,0.5,0.49954635,0.4992400558038585,-0.49954635
mixed,gemma-2-2b-it,0,aligned_output_misaligned_latent,0,0.0,,,,,,,
mixed,gemma-2-2b-it,0,misaligned_output_aligned_latent,622,0.5,0.001758280000000001,0.5,0.00255344811897106,0.5,0.49824172,0.497446551881029,0.49824172
mixed,gemma-2-2b-it,0,both_misaligned,0,0.0,,,,,,,
mixed,gemma-2-2b-it,1,both_aligned,358,0.2877813504823151,0.999527935,0.702096405,0.9994211648882683,0.7030466608938548,0.297133815,0.29637450399441345,-0.297133815
mixed,gemma-2-2b-it,1,aligned_output_misaligned_latent,264,0.21221864951768488,0.99957556,0.305776,0.9989944609090909,0.2954464916931818,0.69360462,0.7035479692159091,-0.69360462
mixed,gemma-2-2b-it,1,misaligned_output_aligned_latent,345,0.27733118971061094,0.0015560999999999492,0.68183416,0.0023552715072463737,0.701613128289855,0.67875432,0.6992578567826087,0.67875432
mixed,gemma-2-2b-it,1,both_misaligned,277,0.22266881028938906,0.002123499999999945,0.34012889999999996,0.0028002745848375466,0.3249014896389891,0.33702769999999993,0.3221012150541516,0.33702769999999993
mixed,gemma-2-2b-it,2,both_aligned,394,0.3167202572347267,0.99954287,0.889634515,0.9994703496700507,0.8488819837563452,0.10986305499999999,0.15058836591370559,-0.10986305499999999
mixed,gemma-2-2b-it,2,aligned_output_misaligned_latent,228,0.1832797427652733,0.99955308,0.14756807500000002,0.9988420918421053,0.17254748829210526,0.84763777,0.82629460355,-0.84763777
mixed,gemma-2-2b-it,2,misaligned_output_aligned_latent,379,0.3046623794212219,0.001982200000000045,0.885890365,0.0028304152770448534,0.8445126815097624,0.8829507249999999,0.8416822662327177,0.8829507249999999
mixed,gemma-2-2b-it,2,both_misaligned,243,0.19533762057877813,0.0015789000000000497,0.17380105999999995,0.0021214705349794235,0.19665030588477364,0.17138790999999998,0.19454605041152262,0.17138790999999998
mixed,gemma-2-2b-it,3,both_aligned,424,0.3408360128617363,0.999554215,0.9617293,0.9994806107075472,0.9014327461084906,0.03790640000000001,0.09805337389150943,-0.03790640000000001
mixed,gemma-2-2b-it,3,aligned_output_misaligned_latent,198,0.15916398713826366,0.99952805,0.0525312315,0.9987249281313132,0.1188941791378788,0.94448283,0.8798307489934343,-0.94448283
