layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count,model
0,0.199999988079071,False,0.504,0.504,0.504,0.516,0.0,0.484,0.512,0.004,0.0,0.0,0.320036381483078,121,gemma-2-2b
1,0.0718437731266021,True,0.467,0.533,0.533,0.544,0.2675797641277313,0.544,0.512,0.376,0.1762987524271011,0.1166897118091583,0.500646710395813,121,gemma-2-2b
2,0.0355762578547,False,0.565,0.435,0.565,0.58,0.1100774109363555,0.58,0.512,0.508,0.3149563372135162,0.333084762096405,0.5880094766616821,121,gemma-2-2b
3,0.0214168187230825,False,0.56,0.44,0.56,0.6,0.1440303325653076,0.6,0.512,0.504,0.2680195271968841,0.5086311101913452,0.6354372501373291,121,gemma-2-2b
4,0.0181779991835355,True,0.432,0.568,0.568,0.6,0.1790955811738968,0.6,0.512,0.496,0.4281109571456909,0.5037276744842529,0.6579118371009827,121,gemma-2-2b
5,0.0184945613145828,False,0.579,0.421,0.579,0.6,0.210502415895462,0.6,0.512,0.504,0.3936495184898376,0.4609615802764892,0.6313269734382629,121,gemma-2-2b
6,0.0061342641711235,False,0.54,0.46,0.54,0.556,0.3102192282676697,0.556,0.512,0.468,0.0684185400605201,0.0002118583943229,0.1234926357865333,121,gemma-2-2b
7,0.0061188335530459,False,0.54,0.46,0.54,0.56,0.3262066543102264,0.56,0.512,0.48,0.0586794055998325,0.0003489626396913,0.1242411360144615,121,gemma-2-2b
8,0.0042418865486979,True,0.486,0.514,0.514,0.536,0.3940990567207336,0.536,0.512,0.448,0.1082190349698066,6.0348593251546845e-05,0.1407247483730316,121,gemma-2-2b
9,0.003606587415561,True,0.494,0.506,0.506,0.532,0.3565068542957306,0.532,0.512,0.436,0.1272360980510711,0.0001685105526121,0.1601770520210266,121,gemma-2-2b
10,0.0036952411755919,True,0.499,0.501,0.501,0.528,0.3360515236854553,0.472,0.512,0.56,0.119695246219635,0.0002395527990302,0.1627034097909927,121,gemma-2-2b
11,0.0035731135867536,False,0.504,0.496,0.504,0.532,0.339283287525177,0.532,0.512,0.444,0.1215879842638969,0.0001336123823421,0.1625998765230178,121,gemma-2-2b
12,0.0037765915039926,False,0.503,0.497,0.503,0.532,0.3193341791629791,0.532,0.512,0.428,0.0702378377318382,0.0003197041223756,0.183070108294487,121,gemma-2-2b
13,0.0039186989888548,False,0.504,0.496,0.504,0.528,0.2821934819221496,0.528,0.512,0.416,0.1018475443124771,0.0002131863584509,0.1880456209182739,121,gemma-2-2b
14,0.0049017569981515,False,0.51,0.49,0.51,0.532,0.2785269916057586,0.532,0.512,0.404,0.054521344602108,0.0004400230536703,0.1881615370512008,121,gemma-2-2b
15,0.0049410630017519,True,0.491,0.509,0.509,0.528,0.2593022584915161,0.528,0.512,0.416,0.0642448514699935,0.00039205676876,0.1881872415542602,121,gemma-2-2b
16,0.0062656556256115,False,0.514,0.486,0.514,0.528,0.2248656898736953,0.528,0.512,0.432,0.0553836710751056,0.0011567443143576,0.1798553615808487,121,gemma-2-2b
17,0.0065259425900876,False,0.516,0.484,0.516,0.532,0.2177663892507553,0.532,0.512,0.436,0.0932360514998436,0.0010747241321951,0.1758604496717453,121,gemma-2-2b
18,0.0071208523586392,False,0.507,0.493,0.507,0.524,0.1893936544656753,0.476,0.512,0.548,0.0364832021296024,0.0006368216709233,0.156417116522789,121,gemma-2-2b
19,0.0089665269479155,True,0.483,0.517,0.517,0.524,0.2014030218124389,0.524,0.512,0.428,0.0610138326883316,0.0027547120116651,0.219385489821434,121,gemma-2-2b
20,0.0100861741229891,True,0.493,0.507,0.507,0.52,0.1887912452220916,0.52,0.512,0.44,0.0796348601579666,0.0043698544614017,0.2298106998205185,121,gemma-2-2b
21,0.0102457292377948,False,0.513,0.487,0.513,0.524,0.1864534169435501,0.524,0.512,0.436,0.0592492744326591,0.0046948976814746,0.2181628793478012,121,gemma-2-2b
22,0.0121850008144974,True,0.476,0.524,0.524,0.54,0.1871544420719146,0.54,0.512,0.452,0.0963954925537109,0.0052091311663389,0.2298976331949234,121,gemma-2-2b
23,0.0142620941624045,False,0.694,0.306,0.694,0.672,0.1348640471696853,0.672,0.512,0.496,0.3112328648567199,0.3239579200744629,0.5587271451950073,121,gemma-2-2b
24,0.0141890002414584,True,0.303,0.697,0.697,0.656,0.130244180560112,0.656,0.512,0.488,0.2426791489124298,0.3442682027816772,0.5967947840690613,121,gemma-2-2b
25,0.0137521522119641,True,0.316,0.684,0.684,0.652,0.124217502772808,0.652,0.512,0.476,0.2887080609798431,0.4134114980697632,0.6102413535118103,121,gemma-2-2b
26,0.0170704070478677,True,0.286,0.714,0.714,0.712,0.1315928399562835,0.712,0.512,0.56,0.2163945883512497,0.16846764087677,0.4922846257686615,121,gemma-2-2b
0,0.199999988079071,False,0.504,0.504,0.504,0.516,0.0,0.484,0.516,0.0,0.0,0.0,0.320036381483078,121,gemma-2-2b-it
1,0.0855856090784072,True,0.47,0.53,0.53,0.516,0.1926672309637069,0.516,0.516,0.448,0.1418756395578384,0.1125992313027381,0.4819598197937011,121,gemma-2-2b-it
2,0.038592517375946,False,0.54,0.46,0.54,0.548,0.1853040158748626,0.548,0.516,0.512,0.2634828090667724,0.4388958811759949,0.6391687989234924,121,gemma-2-2b-it
3,0.0239367019385099,True,0.425,0.575,0.575,0.5800000000000001,0.1432244330644607,0.58,0.516,0.448,0.2918775975704193,0.3588917553424835,0.6166375279426575,121,gemma-2-2b-it
4,0.0212596971541643,False,0.554,0.446,0.554,0.556,0.2305168509483337,0.556,0.516,0.464,0.4423383474349975,0.5697866678237915,0.6358587741851807,121,gemma-2-2b-it
5,0.0202667936682701,False,0.556,0.444,0.556,0.556,0.2869481146335602,0.556,0.516,0.488,0.3959752321243286,0.4853194057941437,0.6290736794471741,121,gemma-2-2b-it
6,0.004053499083966,True,0.469,0.531,0.531,0.556,0.4321234226226806,0.556,0.516,0.464,0.0691753923892974,0.0001471194846089,0.1086006462574005,121,gemma-2-2b-it
7,0.0044561773538589,True,0.464,0.536,0.536,0.552,0.4463088512420654,0.552,0.516,0.476,0.0706593543291091,0.0001549765001982,0.1070775091648101,121,gemma-2-2b-it
8,0.0028126875404268,False,0.507,0.493,0.507,0.528,0.4632717967033386,0.528,0.516,0.436,0.0716363862156868,5.80769992666319e-05,0.1370544880628585,121,gemma-2-2b-it
9,0.00292489095591,False,0.504,0.496,0.504,0.528,0.4295346438884735,0.528,0.516,0.436,0.0537195242941379,0.0001173767013824,0.1424789428710937,121,gemma-2-2b-it
10,0.0027375579811632,False,0.505,0.495,0.505,0.52,0.3960760533809662,0.52,0.516,0.444,0.0623622573912143,0.000117064693768,0.1358962655067443,121,gemma-2-2b-it
11,0.0027662459760904,False,0.504,0.496,0.504,0.524,0.3809884786605835,0.524,0.516,0.448,0.0876284912228584,0.0001891806605271,0.1414687782526016,121,gemma-2-2b-it
12,0.0030360580421984,True,0.496,0.504,0.504,0.52,0.3411492705345154,0.52,0.516,0.444,0.0854555740952491,0.000274010177236,0.1407732963562011,121,gemma-2-2b-it
13,0.002975910436362,False,0.502,0.498,0.502,0.516,0.2830480337142944,0.516,0.516,0.432,0.0602061040699481,0.0002756767498794,0.1459537744522094,121,gemma-2-2b-it
14,0.0021091611124575,False,0.954,0.046,0.954,0.956,0.3010887801647186,0.956,0.516,0.48,0.0981974899768829,0.1465239524841308,0.4191488027572632,121,gemma-2-2b-it
15,0.0017565975431352,False,0.953,0.047,0.953,0.956,0.3500039875507355,0.956,0.516,0.48,0.0528074502944946,0.1826697587966919,0.4161831438541412,121,gemma-2-2b-it
16,0.0025172047317028,False,0.947,0.053,0.947,0.952,0.3142466843128204,0.952,0.516,0.484,0.0526764169335365,0.1330747902393341,0.4419053494930267,121,gemma-2-2b-it
17,0.0026356491725891,True,0.052,0.948,0.948,0.948,0.2974894344806671,0.948,0.516,0.48,0.0803288891911506,0.1643288433551788,0.4429647028446197,121,gemma-2-2b-it
18,0.0033379951491951,True,0.051,0.949,0.949,0.948,0.2779209613800049,0.948,0.516,0.48,0.0713814869523048,0.1215395480394363,0.4432330131530761,121,gemma-2-2b-it
19,0.0034692366607487,False,0.95,0.05,0.95,0.952,0.2622256875038147,0.952,0.516,0.484,0.0716176182031631,0.1285794079303741,0.464538037776947,121,gemma-2-2b-it
20,0.0039976118132472,True,0.047,0.953,0.953,0.944,0.2556358277797699,0.944,0.516,0.476,0.0926636084914207,0.1123439893126487,0.4672437906265259,121,gemma-2-2b-it
21,0.0043000406585633,False,0.95,0.05,0.95,0.944,0.2379550188779831,0.944,0.516,0.476,0.0825419872999191,0.122124582529068,0.4462154805660248,121,gemma-2-2b-it
22,0.0046329936012625,True,0.051,0.949,0.949,0.936,0.2399103939533233,0.936,0.516,0.468,0.0884177833795547,0.1465136408805847,0.4868773818016052,121,gemma-2-2b-it
23,0.0044984756968915,True,0.052,0.948,0.948,0.932,0.2269527167081833,0.932,0.516,0.464,0.101043663918972,0.1402557045221328,0.4754721522331238,121,gemma-2-2b-it
24,0.0044261207804083,True,0.052,0.948,0.948,0.936,0.2229272723197937,0.936,0.516,0.468,0.0960582569241523,0.1531009674072265,0.4982155561447143,121,gemma-2-2b-it
25,0.0059323944151401,False,0.948,0.052,0.948,0.932,0.2165534347295761,0.932,0.516,0.464,0.0728709176182746,0.1249008402228355,0.4566019773483276,121,gemma-2-2b-it
26,0.0097653158009052,True,0.063,0.937,0.937,0.92,0.1949475407600402,0.92,0.516,0.46,0.0561513528227806,0.1100117340683937,0.4467840492725372,121,gemma-2-2b-it
0,0.199999988079071,False,0.504,0.504,0.504,0.516,0.0,0.484,0.488,0.996,0.0,0.0,0.320033997297287,121,gemma-2-9b
1,0.105760633945465,True,0.479,0.521,0.521,0.536,0.2199622839689254,0.536,0.488,0.496,0.08168625831604,0.0762389525771141,0.4331462383270263,121,gemma-2-9b
2,0.0332164280116558,True,0.444,0.556,0.556,0.556,0.1715423911809921,0.556,0.488,0.492,0.345151275396347,0.4065542221069336,0.6307634711265564,121,gemma-2-9b
3,0.0267956610769033,True,0.432,0.568,0.568,0.5880000000000001,0.2713733911514282,0.588,0.488,0.54,0.4203330278396606,0.4455381035804748,0.6265861392021179,121,gemma-2-9b
4,0.0224200822412967,True,0.433,0.567,0.567,0.596,0.2732407748699188,0.596,0.488,0.524,0.3935862481594085,0.4620163738727569,0.6397932767868042,121,gemma-2-9b
5,0.0158200655132532,True,0.447,0.553,0.553,0.548,0.1893853843212127,0.548,0.488,0.572,0.4195702672004699,0.5256621241569519,0.5766373872756958,121,gemma-2-9b
6,0.0164167154580354,False,0.583,0.417,0.583,0.58,0.1874866932630539,0.58,0.488,0.484,0.3867507874965668,0.4212175607681274,0.5460675358772278,121,gemma-2-9b
7,0.013131957501173,True,0.376,0.624,0.624,0.612,0.2165697365999221,0.612,0.488,0.548,0.3305093646049499,0.2498570680618286,0.5269101858139038,121,gemma-2-9b
8,0.0036509889177978,True,0.459,0.541,0.541,0.556,0.3696464300155639,0.556,0.488,0.532,0.0628307461738586,0.0001689514465397,0.0981458649039268,121,gemma-2-9b
9,0.0041668685153126,False,0.536,0.464,0.536,0.556,0.3420344591140747,0.556,0.488,0.548,0.039738118648529,0.0003594532317947,0.1012121364474296,121,gemma-2-9b
10,0.0039924634620547,True,0.475,0.525,0.525,0.536,0.3616601526737213,0.536,0.488,0.552,0.050815500319004,9.0438210463617e-05,0.1170653104782104,121,gemma-2-9b
11,0.0023322401102632,False,0.515,0.485,0.515,0.54,0.4006891250610351,0.54,0.488,0.564,0.1112388297915458,5.306915409164503e-05,0.1502406001091003,121,gemma-2-9b
12,0.0023349374532699,True,0.48,0.52,0.52,0.54,0.4222039878368377,0.54,0.488,0.572,0.1036440059542656,2.274606958962977e-05,0.1439682394266128,121,gemma-2-9b
13,0.0022499843034893,False,0.517,0.483,0.517,0.544,0.407649427652359,0.544,0.488,0.568,0.1012457609176635,7.07136932760477e-05,0.1536073386669159,121,gemma-2-9b
14,0.0021552557591348,True,0.485,0.515,0.515,0.532,0.430915892124176,0.532,0.488,0.572,0.1290906816720962,4.101173180970363e-05,0.1509072184562683,121,gemma-2-9b
