layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.19999998807907104,False,0.504,0.504,0.504,0.516,0.0,0.484,0.62,0.856,0.0,0.0,0.3200323283672333,121
1,0.17813529074192047,True,0.494,0.506,0.506,0.524,0.46391838788986206,0.524,0.62,0.568,0.0023150143679231405,0.007995965890586376,0.3418770432472229,121
2,0.16078898310661316,False,0.52,0.48,0.52,0.54,0.19062580168247223,0.54,0.62,0.464,-0.0007709848578087986,0.01630532182753086,0.35366693139076233,121
3,0.1611732840538025,False,0.521,0.479,0.521,0.516,0.40639403462409973,0.516,0.62,0.504,-0.0031627160497009754,0.02626839466392994,0.36202916502952576,121
4,0.10630787909030914,True,0.498,0.502,0.502,0.532,0.2032521367073059,0.468,0.62,0.448,0.0011506829177960753,0.1079859659075737,0.44565704464912415,121
5,0.13129016757011414,True,0.493,0.507,0.507,0.532,0.40179896354675293,0.532,0.62,0.512,0.02305886521935463,0.06100799888372421,0.4039749801158905,121
6,0.11505360901355743,False,0.507,0.493,0.507,0.536,0.43347811698913574,0.536,0.62,0.428,-0.019535735249519348,0.1005927324295044,0.4288581311702728,121
7,0.12421011179685593,True,0.477,0.523,0.523,0.54,0.31258830428123474,0.54,0.62,0.448,0.03226320445537567,0.06928092241287231,0.41486626863479614,121
8,0.13125692307949066,True,0.492,0.508,0.508,0.508,0.40438857674598694,0.508,0.62,0.472,-0.002534354105591774,0.0545211061835289,0.3956204354763031,121
9,0.12188965082168579,True,0.487,0.513,0.513,0.54,0.4880024492740631,0.54,0.62,0.512,0.03706078603863716,0.10304678976535797,0.43033841252326965,121
10,0.14924094080924988,False,0.558,0.442,0.558,0.54,0.3410731852054596,0.54,0.62,0.432,0.025488322600722313,0.015090937726199627,0.35583704710006714,121
11,0.15458934009075165,False,0.522,0.478,0.522,0.508,0.37483298778533936,0.508,0.62,0.416,0.014347485266625881,0.024009285494685173,0.356290340423584,121
12,0.15386931598186493,True,0.4,0.6,0.6,0.56,0.3633679151535034,0.56,0.62,0.484,0.009829362854361534,0.009587934240698814,0.3463870584964752,121
13,0.17357158660888672,False,0.649,0.351,0.649,0.664,0.26860925555229187,0.664,0.62,0.476,0.0003795004158746451,0.004316995851695538,0.33637097477912903,121
14,0.13094252347946167,False,0.555,0.445,0.555,0.532,0.34466350078582764,0.532,0.62,0.472,0.011470431461930275,0.012998996302485466,0.3361574709415436,121
15,0.1600075513124466,False,0.527,0.473,0.527,0.552,0.23794139921665192,0.552,0.62,0.54,0.0019683334976434708,0.019221672788262367,0.35582298040390015,121
16,0.12345238029956818,True,0.317,0.683,0.683,0.724,0.2518499791622162,0.724,0.62,0.624,0.02671760693192482,0.04525410011410713,0.38827401399612427,121
17,0.15632697939872742,True,0.333,0.667,0.667,0.72,0.17472200095653534,0.72,0.62,0.596,-0.006424602121114731,0.01745542511343956,0.35815125703811646,121
18,0.16598041355609894,False,0.698,0.302,0.698,0.728,0.14399409294128418,0.728,0.62,0.564,0.0027803864795714617,0.00681185070425272,0.34217485785484314,121
19,0.058547526597976685,True,0.327,0.673,0.673,0.6799999999999999,0.19172270596027374,0.68,0.62,0.628,0.15944665670394897,0.2950975298881531,0.5229576230049133,121
20,0.04974851757287979,True,0.063,0.937,0.937,0.928,0.18127942085266113,0.928,0.62,0.684,0.01582847535610199,0.10746513307094574,0.42787379026412964,121
21,0.05658264458179474,False,0.924,0.076,0.924,0.904,0.1738840490579605,0.904,0.62,0.652,0.049200814217329025,0.09705288708209991,0.4257529377937317,121
22,0.05282924324274063,True,0.077,0.923,0.923,0.904,0.17016781866550446,0.904,0.62,0.676,0.054172735661268234,0.09979727864265442,0.4369990825653076,121
23,0.057958584278821945,True,0.27,0.73,0.73,0.732,0.20291495323181152,0.732,0.62,0.52,0.12608575820922852,0.10626250505447388,0.4098030626773834,121
24,0.060566212981939316,False,0.898,0.102,0.898,0.868,0.14961498975753784,0.868,0.62,0.672,0.0757613554596901,0.09230953454971313,0.4023403227329254,121
