layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.19999998807907104,False,0.504,0.504,0.504,0.516,0.0,0.484,0.516,0.0,0.0,0.0,0.320036381483078,121
1,0.08558560907840729,True,0.47,0.53,0.53,0.516,0.19266723096370697,0.516,0.516,0.448,0.14187563955783844,0.11259923130273819,0.48195981979370117,121
2,0.038592517375946045,False,0.54,0.46,0.54,0.548,0.18530401587486267,0.548,0.516,0.512,0.26348280906677246,0.4388958811759949,0.6391687989234924,121
3,0.02393670193850994,True,0.425,0.575,0.575,0.5800000000000001,0.14322443306446075,0.58,0.516,0.448,0.2918775975704193,0.3588917553424835,0.6166375279426575,121
4,0.021259697154164314,False,0.554,0.446,0.554,0.556,0.23051685094833374,0.556,0.516,0.464,0.44233834743499756,0.5697866678237915,0.6358587741851807,121
5,0.02026679366827011,False,0.556,0.444,0.556,0.556,0.2869481146335602,0.556,0.516,0.488,0.3959752321243286,0.4853194057941437,0.6290736794471741,121
6,0.004053499083966017,True,0.469,0.531,0.531,0.556,0.43212342262268066,0.556,0.516,0.464,0.06917539238929749,0.00014711948460899293,0.10860064625740051,121
7,0.004456177353858948,True,0.464,0.536,0.536,0.552,0.44630885124206543,0.552,0.516,0.476,0.07065935432910919,0.00015497650019824505,0.10707750916481018,121
8,0.0028126875404268503,False,0.507,0.493,0.507,0.528,0.4632717967033386,0.528,0.516,0.436,0.0716363862156868,5.80769992666319e-05,0.13705448806285858,121
9,0.0029248909559100866,False,0.504,0.496,0.504,0.528,0.4295346438884735,0.528,0.516,0.436,0.053719524294137955,0.00011737670138245448,0.14247894287109375,121
10,0.0027375579811632633,False,0.505,0.495,0.505,0.52,0.3960760533809662,0.52,0.516,0.444,0.06236225739121437,0.00011706469376804307,0.13589626550674438,121
11,0.002766245976090431,False,0.504,0.496,0.504,0.524,0.3809884786605835,0.524,0.516,0.448,0.08762849122285843,0.0001891806605271995,0.14146877825260162,121
12,0.0030360580421984196,True,0.496,0.504,0.504,0.52,0.3411492705345154,0.52,0.516,0.444,0.08545557409524918,0.00027401017723605037,0.14077329635620117,121
13,0.002975910436362028,False,0.502,0.498,0.502,0.516,0.28304803371429443,0.516,0.516,0.432,0.060206104069948196,0.0002756767498794943,0.14595377445220947,121
14,0.002109161112457514,False,0.954,0.046,0.954,0.956,0.30108878016471863,0.956,0.516,0.48,0.09819748997688293,0.14652395248413086,0.4191488027572632,121
15,0.0017565975431352854,False,0.953,0.047,0.953,0.956,0.3500039875507355,0.956,0.516,0.48,0.05280745029449463,0.1826697587966919,0.41618314385414124,121
16,0.0025172047317028046,False,0.947,0.053,0.947,0.952,0.31424668431282043,0.952,0.516,0.484,0.05267641693353653,0.1330747902393341,0.44190534949302673,121
17,0.002635649172589183,True,0.052,0.948,0.948,0.948,0.2974894344806671,0.948,0.516,0.48,0.08032888919115067,0.16432884335517883,0.44296470284461975,121
18,0.0033379951491951942,True,0.051,0.949,0.949,0.948,0.2779209613800049,0.948,0.516,0.48,0.07138148695230484,0.12153954803943634,0.44323301315307617,121
19,0.00346923666074872,False,0.95,0.05,0.95,0.952,0.2622256875038147,0.952,0.516,0.484,0.07161761820316315,0.12857940793037415,0.464538037776947,121
20,0.003997611813247204,True,0.047,0.953,0.953,0.944,0.2556358277797699,0.944,0.516,0.476,0.09266360849142075,0.11234398931264877,0.4672437906265259,121
21,0.0043000406585633755,False,0.95,0.05,0.95,0.944,0.2379550188779831,0.944,0.516,0.476,0.08254198729991913,0.122124582529068,0.4462154805660248,121
22,0.004632993601262569,True,0.051,0.949,0.949,0.9359999999999999,0.23991039395332336,0.936,0.516,0.468,0.08841778337955475,0.14651364088058472,0.4868773818016052,121
23,0.004498475696891546,True,0.052,0.948,0.948,0.9319999999999999,0.2269527167081833,0.932,0.516,0.464,0.10104366391897202,0.14025570452213287,0.4754721522331238,121
24,0.004426120780408382,True,0.052,0.948,0.948,0.9359999999999999,0.2229272723197937,0.936,0.516,0.468,0.09605825692415237,0.15310096740722656,0.49821555614471436,121
25,0.005932394415140152,False,0.948,0.052,0.948,0.932,0.2165534347295761,0.932,0.516,0.464,0.07287091761827469,0.12490084022283554,0.45660197734832764,121
26,0.009765315800905228,True,0.063,0.937,0.937,0.92,0.19494754076004028,0.92,0.516,0.46,0.05615135282278061,0.11001173406839371,0.44678404927253723,121
