layer,ccs_loss,orientation_flipped,train_accuracy_raw,train_accuracy_flipped,train_orientation_accuracy,accuracy,silhouette,latent_vs_true,behavioral_vs_true,latent_vs_behavioral,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,pa_pair_count
0,0.19999998807907104,False,0.504,0.504,0.504,0.516,0.0,0.484,0.488,0.996,0.0,0.0,0.320033997297287,121
1,0.10576063394546509,True,0.479,0.521,0.521,0.536,0.21996228396892548,0.536,0.488,0.496,0.08168625831604004,0.0762389525771141,0.43314623832702637,121
2,0.03321642801165581,True,0.444,0.556,0.556,0.556,0.17154239118099213,0.556,0.488,0.492,0.34515127539634705,0.4065542221069336,0.6307634711265564,121
3,0.026795661076903343,True,0.432,0.568,0.568,0.5880000000000001,0.2713733911514282,0.588,0.488,0.54,0.42033302783966064,0.44553810358047485,0.6265861392021179,121
4,0.022420082241296768,True,0.433,0.567,0.567,0.596,0.2732407748699188,0.596,0.488,0.524,0.39358624815940857,0.46201637387275696,0.6397932767868042,121
5,0.015820065513253212,True,0.447,0.553,0.553,0.548,0.18938538432121277,0.548,0.488,0.572,0.41957026720046997,0.5256621241569519,0.5766373872756958,121
6,0.01641671545803547,False,0.583,0.417,0.583,0.58,0.1874866932630539,0.58,0.488,0.484,0.3867507874965668,0.42121756076812744,0.5460675358772278,121
7,0.01313195750117302,True,0.376,0.624,0.624,0.612,0.21656973659992218,0.612,0.488,0.548,0.33050936460494995,0.2498570680618286,0.5269101858139038,121
8,0.003650988917797804,True,0.459,0.541,0.541,0.556,0.36964643001556396,0.556,0.488,0.532,0.06283074617385864,0.00016895144653972238,0.09814586490392685,121
9,0.004166868515312672,False,0.536,0.464,0.536,0.556,0.3420344591140747,0.556,0.488,0.548,0.03973811864852905,0.00035945323179475963,0.10121213644742966,121
10,0.0039924634620547295,True,0.475,0.525,0.525,0.536,0.3616601526737213,0.536,0.488,0.552,0.05081550031900406,9.0438210463617e-05,0.11706531047821045,121
11,0.0023322401102632284,False,0.515,0.485,0.515,0.54,0.40068912506103516,0.54,0.488,0.564,0.11123882979154587,5.306915409164503e-05,0.15024060010910034,121
12,0.0023349374532699585,True,0.48,0.52,0.52,0.54,0.42220398783683777,0.54,0.488,0.572,0.1036440059542656,2.274606958962977e-05,0.14396823942661285,121
13,0.0022499843034893274,False,0.517,0.483,0.517,0.544,0.407649427652359,0.544,0.488,0.568,0.10124576091766357,7.07136932760477e-05,0.1536073386669159,121
14,0.0021552557591348886,True,0.485,0.515,0.515,0.532,0.430915892124176,0.532,0.488,0.572,0.12909068167209625,4.101173180970363e-05,0.1509072184562683,121
15,0.0022620116360485554,False,0.509,0.491,0.509,0.528,0.41482698917388916,0.528,0.488,0.568,0.11083579063415527,6.157985626487061e-05,0.15998147428035736,121
16,0.002501646289601922,True,0.492,0.508,0.508,0.528,0.4575556218624115,0.528,0.488,0.568,0.10768098384141922,5.912947017350234e-05,0.15225276350975037,121
17,0.002780290087684989,True,0.492,0.508,0.508,0.532,0.4515019655227661,0.532,0.488,0.564,0.07343752682209015,8.66117188706994e-05,0.14971260726451874,121
18,0.00217110151425004,False,0.51,0.49,0.51,0.524,0.40778613090515137,0.524,0.488,0.572,0.09782492369413376,6.531775579787791e-05,0.16473661363124847,121
19,0.0017897869693115354,False,0.509,0.491,0.509,0.52,0.3587993383407593,0.52,0.488,0.576,0.07820684462785721,9.806373418541625e-05,0.1771136373281479,121
20,0.0022361562587320805,False,0.505,0.495,0.505,0.52,0.3261338770389557,0.52,0.488,0.576,0.11013439297676086,0.00011388998245820403,0.18324913084506989,121
21,0.0024797110818326473,False,0.504,0.496,0.504,0.52,0.2920927107334137,0.52,0.488,0.576,0.12282362580299377,0.000256619619904086,0.17962023615837097,121
22,0.002528085606172681,True,0.489,0.511,0.511,0.524,0.27625247836112976,0.524,0.488,0.572,0.10477054864168167,0.00035641674185171723,0.17672909796237946,121
23,0.003304764861240983,False,0.511,0.489,0.511,0.524,0.25883591175079346,0.524,0.488,0.572,0.11238064616918564,0.0006558845634572208,0.19394461810588837,121
24,0.004227880388498306,False,0.504,0.496,0.504,0.52,0.23940357565879822,0.52,0.488,0.576,0.10261090099811554,0.0006034652469679713,0.18612702190876007,121
25,0.004188016057014465,False,0.506,0.494,0.506,0.536,0.22327114641666412,0.536,0.488,0.56,0.10179084539413452,0.0010398622835054994,0.18897758424282074,121
26,0.004479240160435438,False,0.501,0.499,0.501,0.52,0.20593640208244324,0.52,0.488,0.576,0.07721349596977234,0.0009668520069681108,0.17554871737957,121
27,0.006465635262429714,False,0.754,0.246,0.754,0.772,0.23756198585033417,0.772,0.488,0.436,0.27641618251800537,0.25192713737487793,0.457179993391037,121
28,0.006683704908937216,False,0.535,0.465,0.535,0.552,0.2069907784461975,0.552,0.488,0.544,0.10810385644435883,0.0014589022612199187,0.20015917718410492,121
29,0.007274355739355087,True,0.471,0.529,0.529,0.56,0.21012680232524872,0.56,0.488,0.528,0.10646944493055344,0.0020710525568574667,0.19641819596290588,121
30,0.00824391283094883,True,0.249,0.751,0.751,0.768,0.2606114149093628,0.768,0.488,0.448,0.22446396946907043,0.21391896903514862,0.5311586260795593,121
31,0.008501417003571987,True,0.242,0.758,0.758,0.756,0.2493172287940979,0.756,0.488,0.468,0.30948084592819214,0.305406391620636,0.5611838698387146,121
32,0.009182232432067394,False,0.762,0.238,0.762,0.752,0.2434748262166977,0.752,0.488,0.488,0.3253908157348633,0.30514466762542725,0.544810950756073,121
33,0.009025665000081062,False,0.567,0.433,0.567,0.584,0.22100511193275452,0.584,0.488,0.536,0.08812941610813141,0.008030068129301071,0.23196372389793396,121
34,0.009477713145315647,False,0.753,0.247,0.753,0.744,0.2338276505470276,0.744,0.488,0.48,0.3101784884929657,0.3369184732437134,0.5376412868499756,121
35,0.009107946418225765,False,0.748,0.252,0.748,0.732,0.23357097804546356,0.732,0.488,0.476,0.2841626703739166,0.365884006023407,0.543622612953186,121
36,0.00891461968421936,False,0.751,0.249,0.751,0.72,0.22494125366210938,0.72,0.488,0.496,0.29860997200012207,0.3077556788921356,0.5328925848007202,121
37,0.008871207013726234,False,0.756,0.244,0.756,0.732,0.2322600781917572,0.732,0.488,0.468,0.29250994324684143,0.33154451847076416,0.5224112272262573,121
38,0.0084996921941638,False,0.75,0.25,0.75,0.72,0.22499710321426392,0.72,0.488,0.488,0.2717370092868805,0.3448626697063446,0.5353184342384338,121
39,0.008651143871247768,False,0.753,0.247,0.753,0.736,0.2206716686487198,0.736,0.488,0.48,0.2798571288585663,0.35633328557014465,0.5432835817337036,121
40,0.009217409417033195,True,0.256,0.744,0.744,0.74,0.21810555458068848,0.74,0.488,0.476,0.27329784631729126,0.3796725869178772,0.6115805506706238,121
41,0.009005524218082428,True,0.254,0.746,0.746,0.756,0.22998611629009247,0.756,0.488,0.436,0.14244626462459564,0.2648596465587616,0.5525798201560974,121
42,0.0057917507365345955,True,0.254,0.746,0.746,0.752,0.22630764544010162,0.752,0.488,0.432,0.18437540531158447,0.26975712180137634,0.5540047883987427,121
