dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
not,deberta-hate-tuned,0,0.6816,0.0,0.3184,0.0
not,deberta-hate-tuned,1,0.3832,0.2984,0.1264,0.192
not,deberta-hate-tuned,2,0.3456,0.336,0.1784,0.14
not,deberta-hate-tuned,3,0.3416,0.34,0.1784,0.14
not,deberta-hate-tuned,4,0.3296,0.352,0.1656,0.1528
not,deberta-hate-tuned,5,0.3568,0.3248,0.1552,0.1632
not,deberta-hate-tuned,6,0.3192,0.3624,0.1936,0.1248
not,deberta-hate-tuned,7,0.3272,0.3544,0.1992,0.1192
not,deberta-hate-tuned,8,0.3272,0.3544,0.1808,0.1376
not,deberta-hate-tuned,9,0.34,0.3416,0.1784,0.14
not,deberta-hate-tuned,10,0.3464,0.3352,0.208,0.1104
not,deberta-hate-tuned,11,0.3144,0.3672,0.2048,0.1136
not,deberta-hate-tuned,12,0.3888,0.2928,0.2032,0.1152
not,deberta-hate-tuned,13,0.4216,0.26,0.2304,0.088
not,deberta-hate-tuned,14,0.3608,0.3208,0.1896,0.1288
not,deberta-hate-tuned,15,0.3816,0.3,0.1504,0.168
not,deberta-hate-tuned,16,0.5128,0.1688,0.1784,0.14
not,deberta-hate-tuned,17,0.496,0.1856,0.1816,0.1368
not,deberta-hate-tuned,18,0.4864,0.1952,0.2176,0.1008
not,deberta-hate-tuned,19,0.5024,0.1792,0.172,0.1464
not,deberta-hate-tuned,20,0.6784,0.0032,0.2568,0.0616
not,deberta-hate-tuned,21,0.6552,0.0264,0.2648,0.0536
not,deberta-hate-tuned,22,0.6656,0.016,0.2536,0.0648
not,deberta-hate-tuned,23,0.4912,0.1904,0.2392,0.0792
not,deberta-hate-tuned,24,0.6512,0.0304,0.2408,0.0776
