dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
not,gemma-2-2b-it,0,0.5,0.0,0.5,0.0
not,gemma-2-2b-it,1,0.2664,0.2336,0.2608,0.2392
not,gemma-2-2b-it,2,0.2712,0.2288,0.2704,0.2296
not,gemma-2-2b-it,3,0.288,0.212,0.288,0.212
not,gemma-2-2b-it,4,0.2744,0.2256,0.28,0.22
not,gemma-2-2b-it,5,0.2816,0.2184,0.2744,0.2256
not,gemma-2-2b-it,6,0.2576,0.2424,0.2784,0.2216
not,gemma-2-2b-it,7,0.2616,0.2384,0.2776,0.2224
not,gemma-2-2b-it,8,0.2304,0.2696,0.2808,0.2192
not,gemma-2-2b-it,9,0.228,0.272,0.2808,0.2192
not,gemma-2-2b-it,10,0.2304,0.2696,0.2776,0.2224
not,gemma-2-2b-it,11,0.2296,0.2704,0.2784,0.2216
not,gemma-2-2b-it,12,0.2288,0.2712,0.2784,0.2216
not,gemma-2-2b-it,13,0.224,0.276,0.2808,0.2192
not,gemma-2-2b-it,14,0.4616,0.0384,0.4928,0.0072
not,gemma-2-2b-it,15,0.46,0.04,0.4936,0.0064
not,gemma-2-2b-it,16,0.4608,0.0392,0.4872,0.0128
not,gemma-2-2b-it,17,0.4608,0.0392,0.4872,0.0128
not,gemma-2-2b-it,18,0.4616,0.0384,0.4872,0.0128
not,gemma-2-2b-it,19,0.4632,0.0368,0.4872,0.0128
not,gemma-2-2b-it,20,0.4632,0.0368,0.488,0.012
not,gemma-2-2b-it,21,0.4608,0.0392,0.488,0.012
not,gemma-2-2b-it,22,0.4584,0.0416,0.488,0.012
not,gemma-2-2b-it,23,0.4568,0.0432,0.488,0.012
not,gemma-2-2b-it,24,0.4584,0.0416,0.4872,0.0128
not,gemma-2-2b-it,25,0.4576,0.0424,0.4872,0.0128
not,gemma-2-2b-it,26,0.452,0.048,0.4816,0.0184
