dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
not,gemma-2-2b,0,0.5008,0.0,0.4992,0.0
not,gemma-2-2b,1,0.232,0.2688,0.3032,0.196
not,gemma-2-2b,2,0.2864,0.2144,0.2816,0.2176
not,gemma-2-2b,3,0.2784,0.2224,0.2896,0.2096
not,gemma-2-2b,4,0.2832,0.2176,0.2912,0.208
not,gemma-2-2b,5,0.2992,0.2016,0.284,0.2152
not,gemma-2-2b,6,0.2616,0.2392,0.2816,0.2176
not,gemma-2-2b,7,0.264,0.2368,0.28,0.2192
not,gemma-2-2b,8,0.2376,0.2632,0.2808,0.2184
not,gemma-2-2b,9,0.2296,0.2712,0.2816,0.2176
not,gemma-2-2b,10,0.272,0.2288,0.2232,0.276
not,gemma-2-2b,11,0.2312,0.2696,0.2784,0.2208
not,gemma-2-2b,12,0.2264,0.2744,0.2824,0.2168
not,gemma-2-2b,13,0.2224,0.2784,0.2864,0.2128
not,gemma-2-2b,14,0.2248,0.276,0.2896,0.2096
not,gemma-2-2b,15,0.2256,0.2752,0.2872,0.212
not,gemma-2-2b,16,0.2328,0.268,0.284,0.2152
not,gemma-2-2b,17,0.2368,0.264,0.2824,0.2168
not,gemma-2-2b,18,0.2704,0.2304,0.2304,0.2688
not,gemma-2-2b,19,0.2464,0.2544,0.272,0.2272
not,gemma-2-2b,20,0.2472,0.2536,0.2624,0.2368
not,gemma-2-2b,21,0.2448,0.256,0.2704,0.2288
not,gemma-2-2b,22,0.2544,0.2464,0.2728,0.2264
not,gemma-2-2b,23,0.3536,0.1472,0.336,0.1632
not,gemma-2-2b,24,0.3464,0.1544,0.3424,0.1568
not,gemma-2-2b,25,0.3376,0.1632,0.34,0.1592
not,gemma-2-2b,26,0.3816,0.1192,0.332,0.1672
