dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-9b-it,0,both_aligned,1023,0.8184,0.9992084,0.5,0.9695547808977517,0.5003822024926686,0.4991959,0.4691725784050831,-0.4991959
not,gemma-2-9b-it,0,aligned_output_misaligned_latent,1,0.0008,0.909907,0.4519736,0.909907,0.4519736,0.45793340000000005,0.45793340000000005,-0.45793340000000005
not,gemma-2-9b-it,0,misaligned_output_aligned_latent,225,0.18,0.055823150000000044,0.5,0.10499521644,0.5,0.44417684999999996,0.39500478356,0.44417684999999996
not,gemma-2-9b-it,0,both_misaligned,1,0.0008,0.020023470000000043,0.47298074,0.020023470000000043,0.47298074,0.45295726999999997,0.45295726999999997,0.45295726999999997
not,gemma-2-9b-it,1,both_aligned,535,0.428,0.9992563,0.67746353,0.9717940663119626,0.6853398539140186,0.30650336999999994,0.29596964299607476,-0.30621130399999996
not,gemma-2-9b-it,1,aligned_output_misaligned_latent,489,0.3912,0.99910307,0.32547420000000005,0.9669828678558282,0.3168543113108384,0.641162035,0.6501285565449898,-0.641162035
not,gemma-2-9b-it,1,misaligned_output_aligned_latent,116,0.0928,0.06856437999999998,0.6871023,0.11436146296551723,0.7007090208103448,0.5886116349999999,0.5863475578448276,0.5886116349999999
not,gemma-2-9b-it,1,both_misaligned,110,0.088,0.039638799999999974,0.325960575,0.09434561331818182,0.31405564895454546,0.23721284499999995,0.24084908909090907,0.23493266000000002
not,gemma-2-9b-it,2,both_aligned,584,0.4672,0.99890115,0.8758336,0.9694749710099315,0.8352926791796232,0.11517038324999995,0.1566318703775685,-0.10187719914999999
not,gemma-2-9b-it,2,aligned_output_misaligned_latent,440,0.352,0.99932015,0.174145955,0.9695251472468183,0.19914719352545454,0.7974903849999999,0.7703779537213638,-0.7974903849999999
not,gemma-2-9b-it,2,misaligned_output_aligned_latent,102,0.0816,0.041162845,0.8942172749999999,0.10364732611764707,0.8482158345254902,0.76169654,0.7445685084078432,0.76169654
not,gemma-2-9b-it,2,both_misaligned,124,0.0992,0.06009275000000003,0.13798945,0.10541870891129032,0.1635596897580645,0.128341775,0.1518070172983871,0.04776447
not,gemma-2-9b-it,3,both_aligned,606,0.4848,0.9991507,0.939864885,0.9671105302219472,0.8796475032125147,0.06694708999999999,0.12319126200739934,-0.04323572495
not,gemma-2-9b-it,3,aligned_output_misaligned_latent,418,0.3344,0.9992563,0.092061162,0.9729556615882775,0.1418577830033732,0.879460635,0.8310978785849042,-0.879460635
not,gemma-2-9b-it,3,misaligned_output_aligned_latent,117,0.0936,0.06008667000000001,0.91236013,0.10900137892307693,0.8592199776912991,0.7787326,0.7502185987682222,0.7787326
not,gemma-2-9b-it,3,both_misaligned,109,0.0872,0.045352599999999965,0.07121109999999997,0.09991546637614677,0.11685803697247706,0.08778010000000003,0.12864910050458717,0.0021228599999999487
