dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
not,deberta-hate-tuned,0,0.6816,0.0,0.3184,0.0
not,deberta-hate-tuned,1,0.3832,0.2984,0.1264,0.192
not,deberta-hate-tuned,2,0.3456,0.336,0.1784,0.14
not,deberta-hate-tuned,3,0.3416,0.34,0.1784,0.14
not,deberta-hate-tuned,4,0.3296,0.352,0.1656,0.1528
not,deberta-hate-tuned,5,0.3568,0.3248,0.1552,0.1632
not,deberta-hate-tuned,6,0.3192,0.3624,0.1936,0.1248
not,deberta-hate-tuned,7,0.3272,0.3544,0.1992,0.1192
not,deberta-hate-tuned,8,0.3272,0.3544,0.1808,0.1376
not,deberta-hate-tuned,9,0.34,0.3416,0.1784,0.14
not,deberta-hate-tuned,10,0.3464,0.3352,0.208,0.1104
not,deberta-hate-tuned,11,0.3144,0.3672,0.2048,0.1136
not,deberta-hate-tuned,12,0.3888,0.2928,0.2032,0.1152
not,deberta-hate-tuned,13,0.4216,0.26,0.2304,0.088
not,deberta-hate-tuned,14,0.3608,0.3208,0.1896,0.1288
not,deberta-hate-tuned,15,0.3816,0.3,0.1504,0.168
not,deberta-hate-tuned,16,0.5128,0.1688,0.1784,0.14
not,deberta-hate-tuned,17,0.496,0.1856,0.1816,0.1368
not,deberta-hate-tuned,18,0.4864,0.1952,0.2176,0.1008
not,deberta-hate-tuned,19,0.5024,0.1792,0.172,0.1464
not,deberta-hate-tuned,20,0.6784,0.0032,0.2568,0.0616
not,deberta-hate-tuned,21,0.6552,0.0264,0.2648,0.0536
not,deberta-hate-tuned,22,0.6656,0.016,0.2536,0.0648
not,deberta-hate-tuned,23,0.4912,0.1904,0.2392,0.0792
not,deberta-hate-tuned,24,0.6512,0.0304,0.2408,0.0776
not,gemma-2-2b,0,0.5008,0.0,0.4992,0.0
not,gemma-2-2b,1,0.232,0.2688,0.3032,0.196
not,gemma-2-2b,2,0.2864,0.2144,0.2816,0.2176
not,gemma-2-2b,3,0.2784,0.2224,0.2896,0.2096
not,gemma-2-2b,4,0.2832,0.2176,0.2912,0.208
not,gemma-2-2b,5,0.2992,0.2016,0.284,0.2152
not,gemma-2-2b,6,0.2616,0.2392,0.2816,0.2176
not,gemma-2-2b,7,0.264,0.2368,0.28,0.2192
not,gemma-2-2b,8,0.2376,0.2632,0.2808,0.2184
not,gemma-2-2b,9,0.2296,0.2712,0.2816,0.2176
not,gemma-2-2b,10,0.272,0.2288,0.2232,0.276
not,gemma-2-2b,11,0.2312,0.2696,0.2784,0.2208
not,gemma-2-2b,12,0.2264,0.2744,0.2824,0.2168
not,gemma-2-2b,13,0.2224,0.2784,0.2864,0.2128
not,gemma-2-2b,14,0.2248,0.276,0.2896,0.2096
not,gemma-2-2b,15,0.2256,0.2752,0.2872,0.212
not,gemma-2-2b,16,0.2328,0.268,0.284,0.2152
not,gemma-2-2b,17,0.2368,0.264,0.2824,0.2168
not,gemma-2-2b,18,0.2704,0.2304,0.2304,0.2688
not,gemma-2-2b,19,0.2464,0.2544,0.272,0.2272
not,gemma-2-2b,20,0.2472,0.2536,0.2624,0.2368
not,gemma-2-2b,21,0.2448,0.256,0.2704,0.2288
not,gemma-2-2b,22,0.2544,0.2464,0.2728,0.2264
not,gemma-2-2b,23,0.3536,0.1472,0.336,0.1632
not,gemma-2-2b,24,0.3464,0.1544,0.3424,0.1568
not,gemma-2-2b,25,0.3376,0.1632,0.34,0.1592
not,gemma-2-2b,26,0.3816,0.1192,0.332,0.1672
not,gemma-2-2b-it,0,0.5,0.0,0.5,0.0
not,gemma-2-2b-it,1,0.2664,0.2336,0.2608,0.2392
not,gemma-2-2b-it,2,0.2712,0.2288,0.2704,0.2296
not,gemma-2-2b-it,3,0.288,0.212,0.288,0.212
not,gemma-2-2b-it,4,0.2744,0.2256,0.28,0.22
not,gemma-2-2b-it,5,0.2816,0.2184,0.2744,0.2256
not,gemma-2-2b-it,6,0.2576,0.2424,0.2784,0.2216
not,gemma-2-2b-it,7,0.2616,0.2384,0.2776,0.2224
not,gemma-2-2b-it,8,0.2304,0.2696,0.2808,0.2192
not,gemma-2-2b-it,9,0.228,0.272,0.2808,0.2192
not,gemma-2-2b-it,10,0.2304,0.2696,0.2776,0.2224
not,gemma-2-2b-it,11,0.2296,0.2704,0.2784,0.2216
not,gemma-2-2b-it,12,0.2288,0.2712,0.2784,0.2216
not,gemma-2-2b-it,13,0.224,0.276,0.2808,0.2192
not,gemma-2-2b-it,14,0.4616,0.0384,0.4928,0.0072
not,gemma-2-2b-it,15,0.46,0.04,0.4936,0.0064
not,gemma-2-2b-it,16,0.4608,0.0392,0.4872,0.0128
not,gemma-2-2b-it,17,0.4608,0.0392,0.4872,0.0128
not,gemma-2-2b-it,18,0.4616,0.0384,0.4872,0.0128
not,gemma-2-2b-it,19,0.4632,0.0368,0.4872,0.0128
not,gemma-2-2b-it,20,0.4632,0.0368,0.488,0.012
not,gemma-2-2b-it,21,0.4608,0.0392,0.488,0.012
not,gemma-2-2b-it,22,0.4584,0.0416,0.488,0.012
not,gemma-2-2b-it,23,0.4568,0.0432,0.488,0.012
not,gemma-2-2b-it,24,0.4584,0.0416,0.4872,0.0128
not,gemma-2-2b-it,25,0.4576,0.0424,0.4872,0.0128
not,gemma-2-2b-it,26,0.452,0.048,0.4816,0.0184
not,gemma-2-9b,0,0.5408,0.0,0.4592,0.0
not,gemma-2-9b,1,0.296,0.2448,0.228,0.2312
not,gemma-2-9b,2,0.2992,0.2416,0.2568,0.2024
not,gemma-2-9b,3,0.32,0.2208,0.252,0.2072
not,gemma-2-9b,4,0.3216,0.2192,0.2512,0.208
not,gemma-2-9b,5,0.328,0.2128,0.224,0.2352
not,gemma-2-9b,6,0.2944,0.2464,0.288,0.1712
not,gemma-2-9b,7,0.332,0.2088,0.2896,0.1696
not,gemma-2-9b,8,0.3136,0.2272,0.2304,0.2288
not,gemma-2-9b,9,0.312,0.2288,0.228,0.2312
not,gemma-2-9b,10,0.3104,0.2304,0.2168,0.2424
not,gemma-2-9b,11,0.3128,0.228,0.2072,0.252
not,gemma-2-9b,12,0.3152,0.2256,0.2088,0.2504
not,gemma-2-9b,13,0.3144,0.2264,0.208,0.2512
not,gemma-2-9b,14,0.3104,0.2304,0.208,0.2512
not,gemma-2-9b,15,0.3104,0.2304,0.2024,0.2568
not,gemma-2-9b,16,0.3096,0.2312,0.2024,0.2568
not,gemma-2-9b,17,0.308,0.2328,0.2048,0.2544
not,gemma-2-9b,18,0.3112,0.2296,0.2016,0.2576
not,gemma-2-9b,19,0.3104,0.2304,0.2008,0.2584
not,gemma-2-9b,20,0.308,0.2328,0.2,0.2592
not,gemma-2-9b,21,0.3072,0.2336,0.2,0.2592
not,gemma-2-9b,22,0.3104,0.2304,0.2032,0.256
not,gemma-2-9b,23,0.3104,0.2304,0.2032,0.256
not,gemma-2-9b,24,0.3048,0.236,0.2024,0.2568
not,gemma-2-9b,25,0.3048,0.236,0.2072,0.252
not,gemma-2-9b,26,0.3024,0.2384,0.2024,0.2568
not,gemma-2-9b,27,0.3968,0.144,0.3608,0.0984
not,gemma-2-9b,28,0.308,0.2328,0.2304,0.2288
not,gemma-2-9b,29,0.3008,0.24,0.2344,0.2248
not,gemma-2-9b,30,0.3944,0.1464,0.36,0.0992
not,gemma-2-9b,31,0.404,0.1368,0.3536,0.1056
not,gemma-2-9b,32,0.4112,0.1296,0.3488,0.1104
not,gemma-2-9b,33,0.3232,0.2176,0.2472,0.212
not,gemma-2-9b,34,0.4072,0.1336,0.344,0.1152
not,gemma-2-9b,35,0.3992,0.1416,0.3456,0.1136
not,gemma-2-9b,36,0.4064,0.1344,0.3384,0.1208
not,gemma-2-9b,37,0.4032,0.1376,0.348,0.1112
not,gemma-2-9b,38,0.4056,0.1352,0.3384,0.1208
not,gemma-2-9b,39,0.4048,0.136,0.3448,0.1144
not,gemma-2-9b,40,0.4024,0.1384,0.3408,0.1184
not,gemma-2-9b,41,0.3848,0.156,0.3632,0.096
not,gemma-2-9b,42,0.3856,0.1552,0.3616,0.0976
not,gemma-2-9b-it,0,0.8184,0.0008,0.18,0.0008
not,gemma-2-9b-it,1,0.428,0.3912,0.0928,0.088
not,gemma-2-9b-it,2,0.4672,0.352,0.0816,0.0992
not,gemma-2-9b-it,3,0.4848,0.3344,0.0936,0.0872
not,gemma-2-9b-it,4,0.4872,0.332,0.0936,0.0872
not,gemma-2-9b-it,5,0.5008,0.3184,0.0904,0.0904
not,gemma-2-9b-it,6,0.4888,0.3304,0.0888,0.092
not,gemma-2-9b-it,7,0.464,0.3552,0.0792,0.1016
not,gemma-2-9b-it,8,0.4568,0.3624,0.0832,0.0976
not,gemma-2-9b-it,9,0.456,0.3632,0.0824,0.0984
not,gemma-2-9b-it,10,0.4512,0.368,0.0824,0.0984
not,gemma-2-9b-it,11,0.4336,0.3856,0.0872,0.0936
not,gemma-2-9b-it,12,0.4392,0.38,0.0872,0.0936
not,gemma-2-9b-it,13,0.4432,0.376,0.0864,0.0944
not,gemma-2-9b-it,14,0.4288,0.3904,0.084,0.0968
not,gemma-2-9b-it,15,0.3976,0.4216,0.0984,0.0824
not,gemma-2-9b-it,16,0.4208,0.3984,0.0824,0.0984
not,gemma-2-9b-it,17,0.4256,0.3936,0.0824,0.0984
not,gemma-2-9b-it,18,0.4048,0.4144,0.0976,0.0832
not,gemma-2-9b-it,19,0.424,0.3952,0.0848,0.096
not,gemma-2-9b-it,20,0.7904,0.0288,0.1712,0.0096
not,gemma-2-9b-it,21,0.7864,0.0328,0.1704,0.0104
not,gemma-2-9b-it,22,0.7928,0.0264,0.1696,0.0112
not,gemma-2-9b-it,23,0.792,0.0272,0.1656,0.0152
not,gemma-2-9b-it,24,0.7904,0.0288,0.1656,0.0152
not,gemma-2-9b-it,25,0.7888,0.0304,0.1656,0.0152
not,gemma-2-9b-it,26,0.7896,0.0296,0.1664,0.0144
not,gemma-2-9b-it,27,0.7864,0.0328,0.1664,0.0144
not,gemma-2-9b-it,28,0.788,0.0312,0.1664,0.0144
not,gemma-2-9b-it,29,0.7896,0.0296,0.1624,0.0184
not,gemma-2-9b-it,30,0.7872,0.032,0.1576,0.0232
not,gemma-2-9b-it,31,0.7872,0.032,0.1576,0.0232
not,gemma-2-9b-it,32,0.784,0.0352,0.1576,0.0232
not,gemma-2-9b-it,33,0.7824,0.0368,0.1568,0.024
not,gemma-2-9b-it,34,0.7832,0.036,0.1576,0.0232
not,gemma-2-9b-it,35,0.7816,0.0376,0.1584,0.0224
not,gemma-2-9b-it,36,0.784,0.0352,0.1552,0.0256
not,gemma-2-9b-it,37,0.7856,0.0336,0.1552,0.0256
not,gemma-2-9b-it,38,0.7808,0.0384,0.1568,0.024
not,gemma-2-9b-it,39,0.7856,0.0336,0.156,0.0248
not,gemma-2-9b-it,40,0.7824,0.0368,0.1552,0.0256
not,gemma-2-9b-it,41,0.78,0.0392,0.1568,0.024
not,gemma-2-9b-it,42,0.7832,0.036,0.156,0.0248
