dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-2b-it,0,both_aligned,625,0.5,0.99952877,0.5,0.9993786356000001,0.5,0.49952876999999996,0.49937863559999995,-0.49952876999999996
not,gemma-2-2b-it,0,aligned_output_misaligned_latent,0,0.0,,,,,,,
not,gemma-2-2b-it,0,misaligned_output_aligned_latent,625,0.5,0.001565900000000009,0.5,0.0022199362560000003,0.5,0.4984341,0.497780063744,0.4984341
not,gemma-2-2b-it,0,both_misaligned,0,0.0,,,,,,,
not,gemma-2-2b-it,1,both_aligned,333,0.2664,0.999549,0.7012024,0.9994051577177178,0.7047296066666666,0.29737347000000003,0.29467555105105103,-0.29737347000000003
not,gemma-2-2b-it,1,aligned_output_misaligned_latent,292,0.2336,0.99950962,0.28693747999999997,0.9993483894863014,0.27748682357876714,0.71242432,0.7218615659075343,-0.71242432
not,gemma-2-2b-it,1,misaligned_output_aligned_latent,326,0.2608,0.0017701649999999902,0.68247632,0.002305416564417178,0.6944882044079754,0.68071354,0.6921827878435582,0.68071354
not,gemma-2-2b-it,1,both_misaligned,299,0.2392,0.0014482000000000106,0.31851850000000004,0.0021267369899665555,0.2941835023076923,0.31650579999999995,0.2920567653177258,0.31650579999999995
not,gemma-2-2b-it,2,both_aligned,339,0.2712,0.99952555,0.8758365,0.9993884189970502,0.8524771193215339,0.12357529999999994,0.14691129967551622,-0.12357529999999994
not,gemma-2-2b-it,2,aligned_output_misaligned_latent,286,0.2288,0.9995391499999999,0.13503252500000001,0.9993670391958043,0.17295614707832166,0.864590375,0.8264108921174825,-0.864590375
not,gemma-2-2b-it,2,misaligned_output_aligned_latent,338,0.2704,0.0017958250000000286,0.8870258875,0.0025105479585798814,0.8429586137901184,0.8830127325,0.8404480658315385,0.8830127325
not,gemma-2-2b-it,2,both_misaligned,287,0.2296,0.0014342699999999597,0.13537,0.0018776827526132411,0.17332777216027875,0.13341590000000003,0.17146130216027874,0.13341590000000003
not,gemma-2-2b-it,3,both_aligned,360,0.288,0.99957805,0.94693275,0.9994713410555556,0.8958315336944443,0.05257597000000003,0.10364895008333333,-0.05257597000000003
not,gemma-2-2b-it,3,aligned_output_misaligned_latent,265,0.212,0.9994542,0.10821748,0.9992526961132074,0.1532936988419245,0.89064802,0.8459589972712831,-0.89064802
not,gemma-2-2b-it,3,misaligned_output_aligned_latent,360,0.288,0.002168580000000031,0.9705421925,0.0028713371388888903,0.9052982958190849,0.9673732915,0.9024269586801961,0.9673732915
not,gemma-2-2b-it,3,both_misaligned,265,0.212,0.001127540000000038,0.06144875000000005,0.0013350143018867916,0.11229969350943396,0.059987750000000006,0.11100514788679246,0.059987750000000006
not,gemma-2-2b-it,4,both_aligned,343,0.2744,0.9995615,0.9715903,0.9994188791253644,0.9096457536734693,0.027513599999999916,0.08981119734693876,-0.027513599999999916
not,gemma-2-2b-it,4,aligned_output_misaligned_latent,282,0.2256,0.999490035,0.07287263,0.9993296869148935,0.12965140445180143,0.9262971200000001,0.8696782824630922,-0.9262971200000001
not,gemma-2-2b-it,4,misaligned_output_aligned_latent,350,0.28,0.001961849999999987,0.9695634495,0.0027601559142857147,0.9109254993853886,0.9664166705,0.9081653434711029,0.9664166705
not,gemma-2-2b-it,4,both_misaligned,275,0.22,0.0012271000000000365,0.04802333999999997,0.0015323839636363636,0.10746073247272728,0.04721763999999995,0.1060525589090909,0.04721763999999995
not,gemma-2-2b-it,5,both_aligned,352,0.2816,0.9995575999999999,0.963406525,0.9994022107386363,0.9037951134659091,0.03606597499999997,0.09563794806818181,-0.03606597499999997
not,gemma-2-2b-it,5,aligned_output_misaligned_latent,273,0.2184,0.99949765,0.065889664,0.9993482383516483,0.12115124117005495,0.9334518860000001,0.8781969971815934,-0.9334518860000001
not,gemma-2-2b-it,5,misaligned_output_aligned_latent,343,0.2744,0.002030199999999982,0.970978651,0.002805898279883382,0.9160857790942393,0.9673664850000001,0.913279880814356,0.9673664850000001
not,gemma-2-2b-it,5,both_misaligned,282,0.2256,0.001249734999999974,0.049520600000000026,0.0015072235815602841,0.11128973492907802,0.047902725000000035,0.10993016163120567,0.047902725000000035
not,gemma-2-2b-it,6,both_aligned,322,0.2576,0.99950653,0.99612592,0.9994170981366459,0.9608098932919255,0.0033358999999999472,0.03871043316770187,-0.003137019999999935
not,gemma-2-2b-it,6,aligned_output_misaligned_latent,303,0.2424,0.999556,0.009278834,0.9993377612211221,0.03380302977993399,0.990056613,0.9655347314411882,-0.990056613
not,gemma-2-2b-it,6,misaligned_output_aligned_latent,348,0.2784,0.0022367349999999897,0.997330904,0.0029166481896551726,0.9807643383063506,0.9941643117500001,0.9778476901166954,0.9941643117500001
not,gemma-2-2b-it,6,both_misaligned,277,0.2216,0.0011278999999999595,0.005472060000000001,0.001344644729241877,0.03377509927797834,0.004294499999999979,0.03279208018050542,0.004159510000000033
not,gemma-2-2b-it,7,both_aligned,327,0.2616,0.9995073,0.9955709,0.9994166303363914,0.9577975837003059,0.003907499999999953,0.041708650611620796,-0.003907499999999953
not,gemma-2-2b-it,7,aligned_output_misaligned_latent,298,0.2384,0.99955105,0.011078328,0.9993369433892617,0.03375936350510067,0.9882640715,0.965577579884161,-0.9882640715
not,gemma-2-2b-it,7,misaligned_output_aligned_latent,347,0.2776,0.0022363699999999875,0.9976568818,0.0029192474639769457,0.9827031528710087,0.9945562715999999,0.9797839054070316,0.9945562715999999
