dataset,model,layer,fraction_both_aligned,fraction_aligned_output_misaligned_latent,fraction_misaligned_output_aligned_latent,fraction_both_misaligned
not,gemma-2-9b,0,0.5408,0.0,0.4592,0.0
not,gemma-2-9b,1,0.296,0.2448,0.228,0.2312
not,gemma-2-9b,2,0.2992,0.2416,0.2568,0.2024
not,gemma-2-9b,3,0.32,0.2208,0.252,0.2072
not,gemma-2-9b,4,0.3216,0.2192,0.2512,0.208
not,gemma-2-9b,5,0.328,0.2128,0.224,0.2352
not,gemma-2-9b,6,0.2944,0.2464,0.288,0.1712
not,gemma-2-9b,7,0.332,0.2088,0.2896,0.1696
not,gemma-2-9b,8,0.3136,0.2272,0.2304,0.2288
not,gemma-2-9b,9,0.312,0.2288,0.228,0.2312
not,gemma-2-9b,10,0.3104,0.2304,0.2168,0.2424
not,gemma-2-9b,11,0.3128,0.228,0.2072,0.252
not,gemma-2-9b,12,0.3152,0.2256,0.2088,0.2504
not,gemma-2-9b,13,0.3144,0.2264,0.208,0.2512
not,gemma-2-9b,14,0.3104,0.2304,0.208,0.2512
not,gemma-2-9b,15,0.3104,0.2304,0.2024,0.2568
not,gemma-2-9b,16,0.3096,0.2312,0.2024,0.2568
not,gemma-2-9b,17,0.308,0.2328,0.2048,0.2544
not,gemma-2-9b,18,0.3112,0.2296,0.2016,0.2576
not,gemma-2-9b,19,0.3104,0.2304,0.2008,0.2584
not,gemma-2-9b,20,0.308,0.2328,0.2,0.2592
not,gemma-2-9b,21,0.3072,0.2336,0.2,0.2592
not,gemma-2-9b,22,0.3104,0.2304,0.2032,0.256
not,gemma-2-9b,23,0.3104,0.2304,0.2032,0.256
not,gemma-2-9b,24,0.3048,0.236,0.2024,0.2568
not,gemma-2-9b,25,0.3048,0.236,0.2072,0.252
not,gemma-2-9b,26,0.3024,0.2384,0.2024,0.2568
not,gemma-2-9b,27,0.3968,0.144,0.3608,0.0984
not,gemma-2-9b,28,0.308,0.2328,0.2304,0.2288
not,gemma-2-9b,29,0.3008,0.24,0.2344,0.2248
not,gemma-2-9b,30,0.3944,0.1464,0.36,0.0992
not,gemma-2-9b,31,0.404,0.1368,0.3536,0.1056
not,gemma-2-9b,32,0.4112,0.1296,0.3488,0.1104
not,gemma-2-9b,33,0.3232,0.2176,0.2472,0.212
not,gemma-2-9b,34,0.4072,0.1336,0.344,0.1152
not,gemma-2-9b,35,0.3992,0.1416,0.3456,0.1136
not,gemma-2-9b,36,0.4064,0.1344,0.3384,0.1208
not,gemma-2-9b,37,0.4032,0.1376,0.348,0.1112
not,gemma-2-9b,38,0.4056,0.1352,0.3384,0.1208
not,gemma-2-9b,39,0.4048,0.136,0.3448,0.1144
not,gemma-2-9b,40,0.4024,0.1384,0.3408,0.1184
not,gemma-2-9b,41,0.3848,0.156,0.3632,0.096
not,gemma-2-9b,42,0.3856,0.1552,0.3616,0.0976
